battery_power,clock_speed,Front_Camera_mx,int_memory,mobile_dep,mobile_wt,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,wifi,price_$
596,2.1,9,64,0.8,111,15,3238,16,13,10,No,774.2572853
1547,3,2,14,0.7,198,19,2059,5,0,15,Yes,164.4194876
1760,1.4,5,63,0.8,127,19,2053,19,12,16,No,424.048109
1654,1.5,0,43,0.3,109,0,3112,12,5,10,No,222.5011657
1457,1.9,1,16,0.3,102,10,1440,17,8,12,Yes,156.1982672
1073,0.5,0,51,0.5,145,0,2908,6,0,18,No,446.5118687
1936,2.1,10,46,0.6,104,20,2552,14,7,13,No,273.384468
823,2.7,13,60,0.5,148,19,905,14,11,17,Yes,130.4212783
987,1.3,0,61,0.4,107,9,3963,9,4,20,Yes,465.2976093
1757,0.5,8,49,0.5,180,14,2056,7,5,4,No,227.4406877
1063,1.4,2,48,1,128,4,2910,15,13,9,Yes,335.5136078
1484,3,3,12,0.6,134,5,1457,14,4,20,No,273.1945034
799,2.3,1,63,0.8,144,6,431,15,6,6,Yes,153.266026
1156,1.2,0,50,0.8,159,0,470,7,0,15,No,28.97377629
1720,2,15,55,0.5,168,18,2148,14,2,5,Yes,318.5565556
702,2.6,2,9,0.7,141,3,2955,10,4,19,No,581.5758913
616,1.9,13,44,0.8,81,17,3366,18,8,13,No,357.1183317
1358,0.5,11,36,0.3,155,14,3068,9,4,4,No,824.1268241
1866,1.4,0,30,0.5,182,0,3834,16,11,8,No,608.9900574
1242,1.1,0,10,0.6,165,1,1050,11,1,4,Yes,115.2403485
1166,1.5,0,43,0.8,80,1,3993,7,1,7,No,603.5235121
1448,0.5,6,45,0.8,138,11,3378,13,11,2,Yes,791.8595141
1407,2.4,1,22,0.7,104,4,2192,9,7,13,Yes,649.0935809
605,1,8,9,0.1,142,16,392,15,6,4,No,140.0319346
1038,1.2,3,43,0.7,141,5,3709,11,0,12,Yes,605.3161152
797,2.9,4,38,0.5,90,6,590,9,2,6,No,74.37404542
819,0.6,8,42,0.9,188,20,1814,5,4,13,Yes,218.6399312
1114,2.8,4,9,0.4,197,15,907,10,7,17,No,86.81887909
1234,1.6,1,33,0.6,172,3,1449,11,7,6,Yes,94.2869665
1199,2.5,15,16,0.2,116,20,3448,17,13,10,Yes,588.7179318
1103,1,6,29,0.7,111,8,1837,8,7,16,Yes,180.3773646
1589,0.6,0,58,0.9,85,7,3464,19,10,6,Yes,881.9399056
999,2.9,11,64,0.2,199,19,2593,14,11,16,No,466.0132081
1510,0.9,2,45,0.9,180,3,3484,9,6,11,Yes,623.2227073
1008,0.8,11,61,1,114,15,2009,10,3,11,No,171.9075441
1127,2.9,5,57,0.8,163,13,2048,11,5,17,Yes,239.9500625
1412,2.4,5,25,0.8,96,17,837,15,9,4,Yes,160.3372941
1496,2,4,42,0.5,182,5,854,16,0,7,Yes,36.96904954
1083,2.9,1,64,0.8,178,11,3210,13,3,4,No,740.7506756
668,0.5,0,3,0.1,155,13,2746,9,5,8,Yes,370.2985928
1309,1.1,0,33,0.5,100,14,2334,10,1,11,Yes,427.6893118
1724,2,2,57,0.5,177,5,2822,19,3,16,No,434.2835997
1977,2,7,54,1,171,18,1971,18,7,14,No,483.3695691
885,2.3,0,15,0.4,103,0,1410,16,10,5,Yes,140.7646306
879,2.5,11,14,0.7,83,15,349,16,10,2,Yes,40.05539574
1322,1.7,6,7,0.8,140,9,1418,19,17,12,No,260.2026568
1137,1,18,7,1,196,19,3616,13,5,12,Yes,1112.49667
1355,2.3,10,23,0.2,132,16,880,19,4,8,No,102.578835
1665,0.5,3,60,0.2,194,18,1601,18,17,14,No,356.7502496
657,2.5,0,37,0.7,141,1,1412,14,3,18,No,154.1986524
593,0.5,6,31,0.4,156,7,1692,6,2,7,No,85.14556623
1883,0.5,3,10,0.3,146,13,2600,16,8,20,No,904.7621326
1732,1.1,4,12,0.8,119,9,1308,16,7,11,Yes,176.5963827
543,0.5,0,57,0.7,192,4,2413,17,14,15,No,301.8984232
1939,2.8,0,55,0.6,199,10,1047,14,10,18,No,87.77380717
553,2.4,1,8,0.5,121,3,1204,11,4,8,Yes,89.51487868
832,0.7,2,39,0.7,103,3,1799,5,2,11,Yes,69.54614471
1661,1.9,5,23,1,172,10,2676,12,6,11,Yes,970.7243227
1657,2.4,3,42,0.1,198,16,2597,18,1,14,No,756.0586085
1135,2,0,46,0.3,83,4,3029,19,17,9,Yes,810.7525626
1775,1.5,3,41,0.1,163,7,2343,19,13,14,Yes,287.8895243
783,1.8,0,43,1,106,4,2016,16,4,18,No,150.1363146
617,2.3,0,32,0.5,199,20,2213,18,13,7,No,129.540613
867,1.4,0,4,0.7,135,1,790,13,6,3,No,104.2336717
1310,1.1,13,7,1,194,14,3182,8,4,5,No,277.9904227
1804,0.5,9,22,0.6,153,19,3472,9,1,20,Yes,1029.876001
1900,2.3,1,18,0.2,89,9,2871,12,1,13,Yes,1191.891135
909,1.4,0,53,0.3,82,0,3187,12,9,4,No,525.5004282
1084,2.6,3,40,0.9,107,11,1945,15,4,10,No,373.1231468
1308,1.3,8,46,0.9,199,12,488,5,3,9,No,169.9374981
1778,0.5,0,15,0.5,102,0,1214,5,0,14,No,241.3216287
1701,1.6,3,10,0.3,194,7,2598,12,9,6,No,487.8360242
772,2.4,1,10,0.5,80,2,3242,18,11,4,No,644.7110365
825,0.5,7,52,0.9,130,10,3534,10,4,6,No,762.2189481
1379,1.1,5,36,0.8,200,7,3426,5,4,17,Yes,886.5433544
1166,2,3,25,0.8,198,4,2488,13,5,15,No,346.1648294
1659,2.8,5,16,0.6,89,20,3255,19,14,9,Yes,716.7130047
826,2.4,0,58,0.3,88,1,2863,9,3,18,Yes,498.8618414
1564,2.3,4,25,0.5,189,17,1496,6,4,7,Yes,138.3592034
1957,0.9,11,31,0.6,181,16,3801,12,0,7,Yes,639.0465059
1571,1.4,0,19,0.1,100,1,666,12,10,13,No,175.0448228
1414,2,2,54,0.8,99,3,3799,17,7,7,Yes,510.5994029
1790,2.5,9,2,0.1,184,14,1366,7,0,20,Yes,296.5754591
645,0.5,1,41,1,197,10,2962,12,9,4,Yes,259.2521852
668,2.9,7,30,0.2,195,12,2399,10,5,7,Yes,199.2882875
1652,1.1,1,36,0.7,89,5,2338,12,8,20,No,494.7230204
1213,0.5,0,16,0.5,108,0,2700,12,3,9,Yes,389.4592921
1272,2.5,0,22,0.9,133,8,2235,19,4,4,No,17.07294798
866,0.5,5,46,0.5,179,7,3825,12,11,2,Yes,900.5429461
536,2.4,12,3,0.3,182,14,284,12,9,4,No,89.22527857
523,2.6,1,14,0.1,155,2,1427,9,1,9,No,99.55316893
1753,0.5,0,31,0.1,134,18,1324,17,0,17,Yes,222.8156782
1218,1.8,1,14,0.5,147,4,398,17,0,5,No,95.15501871
1537,2.5,4,43,0.3,137,5,3685,18,17,17,Yes,674.0737366
786,2.2,0,33,0.5,141,6,2390,12,11,5,Yes,395.2415648
1678,2.1,3,64,0.9,134,11,278,19,0,10,No,98.47079293
1814,1.4,1,9,0.4,141,2,3556,18,12,16,No,737.4492797
1101,1.8,0,31,0.2,148,7,2196,12,6,19,Yes,173.8553053
1461,2.4,3,40,0.5,141,4,3799,16,1,4,No,574.6487734
1216,3,4,47,0.4,199,7,2268,13,5,4,Yes,311.0401979
506,1.6,6,41,0.8,159,7,2965,13,10,15,No,267.2799868
843,0.5,1,56,0.1,147,17,2341,10,1,20,Yes,160.0532319
742,2.2,4,56,0.2,190,14,3557,16,11,12,Yes,826.1061758
1692,2.1,3,61,0.9,176,12,1354,16,7,19,No,278.3513681
1485,1,2,32,0.7,84,9,2147,19,1,11,No,684.7058917
1547,2.9,6,45,0.7,166,8,505,12,2,3,Yes,135.3468735
1692,2.3,4,46,0.9,139,6,1394,16,10,6,No,265.0060553
637,2.3,3,60,0.8,97,4,374,18,4,8,Yes,113.2394173
1224,0.5,16,6,0.4,109,18,506,10,0,11,Yes,95.88883055
1356,2.8,0,29,0.5,198,0,3702,17,0,19,No,1026.613776
1840,0.5,12,34,0.7,142,16,1078,8,0,10,No,213.9836023
1481,0.7,4,37,0.6,96,13,2945,10,5,16,Yes,160.4497551
961,1.5,10,51,0.3,152,16,2981,15,6,7,Yes,455.7399825
1296,0.9,0,14,0.5,124,3,490,7,1,4,Yes,160.9399703
1193,0.9,11,26,0.5,166,20,536,17,14,4,Yes,161.9436651
1441,2.1,11,3,0.1,118,17,2317,16,4,7,Yes,285.5614355
517,1.4,3,33,0.8,183,8,3704,17,16,11,Yes,583.2268399
748,1.7,0,27,0.9,150,4,2126,18,9,7,No,173.135717
1126,2.4,2,10,0.4,160,3,2050,7,6,12,Yes,348.785716
1572,0.6,0,58,0.2,157,8,2462,12,8,10,No,449.8878051
1569,2.8,17,44,0.3,110,20,1260,9,2,17,No,228.1914534
1270,0.6,2,32,0.5,101,6,3770,5,3,13,No,676.7529582
1854,3,2,8,0.1,101,5,1886,17,4,20,No,188.944329
625,1.2,5,10,0.2,183,8,3323,9,1,7,Yes,280.9037661
1577,0.5,0,42,0.3,197,4,2060,19,6,12,No,543.5815357
534,0.5,0,16,1,189,1,3926,16,12,20,No,563.3830588
946,1.7,8,25,0.8,143,15,2177,7,5,13,Yes,251.4331524
685,0.5,2,29,0.8,93,10,728,14,8,4,Yes,48.42879324
1949,1.3,0,23,0.1,101,1,2478,14,8,20,No,607.8776989
947,0.8,0,22,0.1,197,13,2842,16,12,2,No,348.4235609
801,2.2,2,63,0.4,165,4,1617,17,4,19,Yes,214.990757
703,2.7,12,30,0.3,113,20,1472,14,7,7,No,73.78901252
1165,2.4,11,41,0.2,178,12,764,19,12,15,No,139.6953935
1082,0.8,0,38,0.1,198,5,2337,6,1,17,Yes,337.4900278
959,2.6,15,20,1,84,19,3965,16,1,6,No,934.749941
1502,1.2,0,54,0.2,138,12,3693,17,14,16,No,551.1774047
1380,2.1,1,4,0.8,92,13,797,13,2,15,No,124.0881596
1266,0.5,0,5,0.1,95,9,1687,11,0,18,No,502.7750064
1934,2.6,0,46,0.1,103,17,2940,13,9,2,Yes,1123.297502
1905,0.5,3,6,0.5,151,5,1545,9,5,10,No,154.9755964
1831,1.4,2,43,0.9,150,5,3834,17,7,13,Yes,506.8400765
596,1.4,8,46,0.6,165,18,2505,15,4,15,No,350.9282883
1562,1.3,1,7,0.2,190,15,2243,12,10,6,No,388.6241157
1490,0.5,4,64,0.3,150,8,3600,17,9,7,Yes,532.6896159
1523,2.4,5,57,0.2,117,6,3971,18,12,10,Yes,910.3000726
640,0.6,0,20,0.1,163,15,2844,7,5,18,No,494.0071304
1526,2.1,1,23,0.2,117,8,2227,18,10,3,No,374.1711108
1989,2.5,0,41,0.8,94,13,1665,17,9,12,Yes,243.2473746
1308,1.9,0,61,0.7,106,7,3355,15,2,4,Yes,657.5515557
609,0.5,3,26,0.3,93,4,1866,11,10,14,Yes,302.9630484
1905,0.6,9,36,0.4,119,20,1287,13,4,16,No,251.7952112
1703,0.5,0,22,0.6,192,0,1046,5,4,13,Yes,49.95547225
1445,2.4,7,20,0.4,173,15,1441,7,4,13,Yes,214.1657828
1087,1.3,0,16,0.3,166,9,690,14,6,6,Yes,105.9485545
671,0.9,10,30,0.7,105,17,2504,6,4,15,No,495.9572015
1472,2.3,6,61,0.1,168,19,2677,19,15,8,No,390.2445996
765,0.5,0,47,0.3,115,1,2243,11,7,4,Yes,612.985859
1642,0.5,16,8,0.3,171,17,2984,13,4,17,Yes,480.5444893
1265,1.5,7,49,0.7,182,16,1362,5,0,12,Yes,248.263028
664,1.1,1,51,0.1,110,4,3629,19,15,6,Yes,591.3051383
1277,0.5,0,35,0.4,142,6,3559,18,17,6,No,780.8062466
1395,1.8,0,23,0.1,111,1,2571,11,0,13,Yes,581.2290415
1539,2.6,0,41,0.1,159,0,2107,15,9,10,Yes,632.4332206
1049,2.2,9,63,0.5,135,17,1022,11,3,13,No,44.17290878
1827,1.7,4,39,0.5,128,16,2844,14,9,10,No,606.8958175
903,1,0,50,0.4,91,0,711,9,5,10,No,63.64535249
1987,0.5,3,53,1,181,7,3117,18,5,8,Yes,424.4230994
1154,1.2,0,49,0.2,181,2,978,5,3,7,Yes,76.5537226
1336,0.9,5,17,0.2,194,9,1869,13,1,16,Yes,236.1403883
1886,0.5,0,24,0.4,112,1,1179,16,7,20,Yes,93.3128342
1551,1.1,4,51,0.1,88,6,3844,11,8,4,No,586.3222744
850,1.6,6,29,0.5,133,19,593,19,17,10,Yes,53.81528563
660,0.5,5,40,0.5,111,10,588,6,5,18,Yes,113.3756984
1225,2.1,8,13,0.5,116,12,3836,12,11,11,No,1024.062952
1452,0.5,1,25,0.9,123,11,2669,12,10,13,No,423.787222
1686,2.8,3,38,0.1,166,4,2958,14,11,2,No,822.8232037
1634,1.4,1,17,0.2,200,5,3031,11,6,6,Yes,801.2888355
1708,2.4,18,49,0.1,109,19,3388,6,4,16,Yes,727.334737
1151,2.9,0,31,0.6,128,1,2377,18,8,13,No,269.9170898
1578,1.9,2,37,0.1,138,19,2458,19,16,3,Yes,351.0868304
1689,1.8,17,24,0.3,127,18,2766,7,2,7,Yes,363.3960139
1488,0.5,1,39,0.8,112,6,3054,14,10,19,No,830.3492426
1313,1.8,4,9,0.4,105,6,3791,11,10,6,Yes,812.8034876
1715,1,4,31,0.5,83,17,625,17,6,13,No,73.17700268
1442,1,0,27,0.1,192,19,2227,6,5,20,No,245.1486285
528,1.7,12,6,0.8,142,15,3256,9,8,6,No,675.2584846
1523,1.8,6,11,0.1,129,8,707,19,8,19,No,2.974482515
1133,1.4,3,42,0.1,199,12,1457,18,12,20,Yes,235.0990049
1718,2.5,14,6,0.1,183,16,3755,7,1,8,Yes,566.9199795
1330,0.5,0,38,1,183,1,1733,9,0,11,Yes,124.1004259
1799,0.5,0,49,0.4,107,2,720,12,2,11,Yes,102.9844396
633,2.2,0,49,0.1,139,1,3560,11,1,16,Yes,519.3417353
724,2.7,0,44,0.5,187,0,2311,7,6,7,No,178.6889455
822,0.5,0,51,0.3,157,20,3846,10,1,3,No,512.0686117
1918,1.9,2,10,0.6,110,10,1717,7,1,16,Yes,606.3580431
1891,2.8,7,37,0.4,129,14,3704,8,6,11,No,685.3319804
1373,1,2,50,0.2,127,12,3800,8,3,14,No,899.0240764
862,0.8,3,23,0.4,165,15,278,16,3,11,Yes,78.52154065
1273,1,3,48,0.4,99,15,1767,18,15,11,No,155.0774085
957,2.5,4,7,0.8,107,10,1846,12,5,7,Yes,104.9574255
1617,1.3,3,30,0.7,105,4,829,9,0,10,No,92.92802208
893,2.5,0,55,0.6,183,1,2986,7,1,6,Yes,422.9156379
1210,0.5,0,63,0.1,93,0,2394,17,9,7,No,456.099992
708,2.7,0,63,1,195,7,2169,6,5,7,Yes,213.3397798
835,1.1,2,7,0.2,101,7,1181,13,5,15,Yes,93.69789489
1450,2.7,9,19,0.6,131,17,575,15,9,12,No,181.1371138
973,1.5,5,57,0.2,190,16,2977,6,4,2,No,638.3055589
601,1.4,4,4,0.1,154,13,532,12,8,10,Yes,95.71795564
507,0.5,1,32,0.5,141,11,1702,17,0,5,Yes,129.7028651
564,1.8,0,51,0.5,168,1,1074,14,8,15,No,55.4600581
1559,1.6,6,6,0.5,162,17,3352,9,1,3,Yes,822.4441452
754,0.5,7,59,0.7,178,10,1027,6,3,5,No,165.0358279
728,2.7,0,25,0.2,88,1,2039,5,1,12,Yes,166.1468916
1431,0.5,0,56,0.6,191,1,461,7,3,8,No,121.7542193
767,1.5,4,28,0.7,175,10,527,10,0,15,No,102.1673766
1722,2.6,8,18,0.8,177,16,3271,14,0,15,Yes,706.2503577
1992,1.6,5,57,1,100,15,606,9,3,4,Yes,110.597678
1876,0.5,10,40,0.3,86,14,2513,10,8,16,No,1124.834768
1054,1.1,10,38,0.4,136,12,1675,18,4,14,Yes,218.1635421
1283,1.6,4,47,0.9,93,5,2698,9,6,17,No,554.0664759
1281,2.3,0,28,0.3,148,6,1129,12,1,6,No,195.2297668
1066,0.6,2,7,0.9,114,18,468,19,13,6,No,35.90261709
730,2.1,0,4,0.1,89,2,1210,19,15,4,Yes,79.38432215
1053,0.8,7,45,0.3,103,12,3086,17,6,5,Yes,851.7140175
1611,0.5,11,3,0.6,98,14,1595,8,4,9,Yes,166.7437486
793,1,5,30,0.9,133,15,2332,17,13,14,Yes,442.6022773
1220,2.9,3,62,0.5,125,8,2589,19,11,15,Yes,540.373237
1662,0.5,0,61,0.8,126,13,3760,9,5,13,Yes,905.9290271
1281,2.8,3,8,0.3,144,19,1851,8,2,9,No,263.7889559
538,0.8,12,2,0.8,177,13,417,8,4,9,Yes,78.01508886
823,0.5,0,39,0.4,187,4,294,13,9,11,Yes,117.438602
1733,2.8,3,36,1,119,20,3576,17,16,9,No,597.4773133
1429,1.5,0,40,0.9,100,14,3945,11,7,18,Yes,889.4609978
1839,1.2,9,54,0.5,200,11,927,19,10,18,Yes,277.3121346
659,2.7,6,6,0.5,110,7,2044,15,5,2,Yes,161.2817965
1953,2.1,7,56,0.1,158,9,2334,11,5,4,No,484.0166632
1172,1.9,0,27,0.7,164,3,1477,12,0,6,No,179.264315
612,1.9,6,16,0.3,102,7,3161,8,4,3,No,206.4029582
1563,2.4,0,24,0.2,170,0,3660,7,5,5,No,785.6982233
1191,1.3,16,26,0.8,84,20,1604,14,3,9,Yes,252.7178742
615,0.5,0,42,0.6,163,4,2211,7,4,18,Yes,252.1918939
1893,2.1,8,63,0.2,134,11,3822,14,3,18,Yes,890.0187316
1563,1.7,10,16,0.1,151,13,3922,11,1,8,Yes,681.8493098
1995,1.9,6,9,0.8,139,18,1203,14,12,18,Yes,280.1644718
1517,0.5,6,48,0.6,143,14,2822,15,5,11,Yes,840.0923034
832,1.6,1,34,0.3,108,5,447,15,13,12,No,74.85414576
1162,2,0,56,0.7,114,1,1652,5,0,20,No,232.5118921
1595,2.6,7,12,0.3,121,19,3608,15,1,16,No,1086.753716
1329,1,1,52,0.9,181,2,1228,8,6,6,Yes,80.17074877
928,0.5,11,56,0.7,80,13,666,19,10,5,No,23.26774245
1656,0.5,8,38,0.1,105,17,1499,12,8,19,Yes,275.3301835
1937,1.7,17,58,0.6,189,19,3321,5,4,14,No,945.278047
977,1.1,2,57,0.6,181,7,1206,7,1,8,Yes,66.26633937
768,0.9,16,56,0.1,113,20,952,19,3,16,Yes,89.52814731
1464,0.5,11,12,0.9,117,14,3927,5,3,15,Yes,925.7547901
1177,0.9,1,29,0.4,191,8,311,18,5,19,No,80.68218684
1348,2,18,52,0.3,98,20,955,18,11,7,Yes,180.4558624
1956,2.2,0,37,0.5,87,2,1109,13,1,19,No,183.6517036
1751,0.5,6,8,0.6,178,20,2969,8,6,17,Yes,413.0912747
1530,2,11,42,0.8,177,13,725,11,10,19,Yes,28.39444857
1997,1.8,1,40,0.5,185,8,1655,7,6,15,No,319.1462122
1414,1.5,5,44,0.5,180,6,3490,16,12,13,No,863.8505441
1707,1.4,0,41,0.8,80,2,1774,12,0,10,No,507.7904538
894,0.5,1,50,0.5,199,14,3615,13,0,6,Yes,882.9244235
645,1.2,6,41,0.7,184,17,714,18,2,13,No,144.0986853
1163,2.8,0,49,0.6,155,0,2768,19,2,12,Yes,619.9870244
1126,0.7,3,49,0.9,165,17,3739,14,1,13,No,459.7912285
1648,0.7,6,64,0.8,170,9,610,8,1,6,No,193.3283441
1170,0.9,6,14,0.4,199,13,715,18,5,20,Yes,81.98842278
508,0.8,7,42,0.3,94,8,663,13,12,7,No,166.7859745
1097,2.1,6,64,0.2,161,8,1725,14,5,9,Yes,294.4614113
728,1.7,0,5,0.6,101,20,834,16,0,5,No,124.8012396
1980,0.5,2,29,0.8,177,13,3865,12,10,18,No,610.5375929
1504,2.3,1,64,0.9,182,2,3059,6,5,10,No,456.1367161
1379,2.1,14,63,1,83,17,651,9,6,7,No,112.465183
1698,2.1,5,18,0.9,160,20,796,13,3,14,Yes,55.30430657
920,2.1,5,25,0.4,115,14,785,10,7,5,Yes,80.8058885
1144,1.5,0,21,0.4,189,11,3252,16,0,8,No,400.675636
1995,0.5,6,26,0.2,129,15,1322,15,11,7,Yes,232.7545182
1430,0.5,1,27,0.5,183,16,2832,7,1,15,Yes,276.2323498
972,0.5,5,13,0.4,193,8,1615,11,6,13,No,290.9923415
662,0.5,5,20,0.8,138,10,2125,17,15,15,Yes,312.844438
1867,2.3,0,9,0.1,191,3,990,6,1,2,Yes,163.2426259
1730,2,0,20,0.1,143,10,1595,14,0,12,No,274.0763123
1723,1,1,7,0.6,126,17,1213,5,0,16,Yes,205.7630594
1882,1.3,8,47,0.2,140,13,2500,17,1,11,Yes,475.0127549
803,0.8,0,18,0.3,106,1,2801,18,15,12,No,302.2496449
580,1.2,0,47,0.9,91,1,3451,15,1,11,No,619.8459081
668,2.3,2,48,0.3,114,19,1201,14,12,4,No,158.3534946
1391,1.4,2,36,0.8,182,6,3139,14,7,14,No,496.2122761
1560,2.3,0,22,0.8,169,1,1938,15,11,16,Yes,91.08885595
821,1.8,5,54,0.1,109,9,3185,8,4,15,No,627.4386071
811,2.4,5,2,0.3,106,13,2111,18,7,2,Yes,188.2056491
1989,2.9,8,17,0.1,193,15,2369,7,0,18,No,381.1820454
1034,2.7,6,37,0.7,120,20,3625,17,1,12,Yes,671.9738258
618,2.1,2,6,0.3,86,4,1051,13,10,15,Yes,129.1044046
654,1.3,0,52,0.7,196,4,1036,17,4,13,No,173.8714564
576,2.8,2,10,0.2,184,7,2938,6,0,5,Yes,750.3641513
667,0.6,6,3,0.7,185,13,2855,5,0,19,Yes,417.1131496
869,1,7,57,0.6,118,15,2727,13,3,8,No,411.9605125
635,0.5,2,42,0.4,149,4,2973,12,5,18,Yes,279.3635719
609,3,15,44,0.3,117,16,2581,15,11,15,Yes,138.4019995
1557,2.8,16,2,0.1,123,20,2690,18,16,9,Yes,904.6363006
1604,1.7,2,33,1,191,5,916,13,10,12,Yes,59.68069328
1182,0.5,7,8,0.5,138,16,2563,19,17,19,No,285.6951333
848,2.1,10,19,0.8,148,18,3359,10,0,14,No,345.6229396
1610,2.9,7,64,0.9,181,12,941,8,4,9,No,160.5400722
1828,2.1,0,17,0.9,199,1,2280,17,14,4,No,502.8625979
880,2,1,50,0.5,194,3,827,15,9,6,Yes,95.83920777
1394,0.9,10,62,0.3,175,13,473,11,1,20,No,91.59504114
1960,2.3,1,61,0.3,86,3,3865,10,7,11,No,433.8930303
809,0.8,10,21,0.9,91,19,1274,18,7,3,No,152.9206926
899,0.5,13,57,0.9,172,18,364,11,1,7,No,181.1911834
1976,0.7,4,32,0.8,171,7,3699,17,11,13,Yes,896.8346582
879,1.5,0,21,0.8,187,2,2927,14,13,11,Yes,377.9314198
916,2.6,0,36,0.3,195,12,1470,13,0,14,No,161.7408602
763,1.7,8,2,0.5,92,14,1050,6,4,8,No,64.16081404
508,1.6,0,9,0.4,162,2,2616,18,8,10,Yes,524.2008016
825,2.9,0,34,0.8,99,17,2915,8,2,10,No,591.2718942
1864,1.4,8,46,0.7,178,12,2686,11,7,18,Yes,491.5084207
1725,0.5,8,52,1,185,12,1243,19,18,5,Yes,280.6452529
1108,2.9,10,52,0.1,183,12,3264,16,1,13,Yes,1016.494339
1011,1.1,4,36,0.2,131,18,2261,7,6,16,Yes,222.4840906
1703,1.5,17,55,0.7,138,19,2993,5,1,20,Yes,771.4781638
1067,1.7,0,58,0.5,135,0,706,12,9,16,No,114.2808111
1334,2.4,5,42,0.6,115,14,2542,10,1,8,No,845.1805775
775,2.6,0,30,0.4,189,10,2523,17,16,9,Yes,410.3266277
1899,0.6,0,26,0.1,151,0,336,13,11,4,Yes,90.44574258
930,1.3,1,14,0.4,97,10,2457,11,7,17,No,286.5249916
1058,1.5,2,19,0.4,166,14,418,9,7,16,Yes,45.74109974
1187,2.2,0,46,0.4,145,9,3917,13,11,8,Yes,777.5849327
1874,2.7,10,8,0.9,166,13,1246,8,1,2,Yes,270.3594006
1482,0.5,2,48,0.2,142,10,2971,12,8,12,Yes,441.8098525
1809,1.7,3,59,0.1,174,4,2324,10,6,16,Yes,326.5180097
