Car_Ad,Car_Brand,year,km_driven,fuel,seller_type,transmission,owner,engine,horsepower,seats,selling_price
Mahindra Bolero DI Non AC BSIII,Mahindra,2010,300000,Diesel,Individual,Manual,Third Owner,2523,63,seven,320000
Tata Sumo Gold EX,Tata,2014,300000,Diesel,Individual,Manual,First Owner,2956,83.83,seven,275000
Mahindra Bolero DI,Mahindra,2005,300000,Diesel,Individual,Manual,Third Owner,2523,63,seven,160000
Mahindra Xylo E4,Mahindra,2009,300000,Diesel,Individual,Manual,First Owner,2498,112,seven,150000
Maruti Wagon R Duo Lxi,Maruti,2011,300000,LPG,Individual,Manual,First Owner,998,58.2,five,300000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,Mahindra,2014,300000,Diesel,Individual,Manual,Third Owner,2179,120,eight,550000
Mahindra Xylo D4 BSIII,Mahindra,2013,300000,Diesel,Individual,Manual,First Owner,2498,112,eight,200000
Ford Endeavour 2.5L 4X2,Ford,2011,298000,Diesel,Individual,Manual,Second Owner,2499,141,seven,850000
Tata Safari Storme EX,Tata,2014,291977,Diesel,Individual,Manual,First Owner,2179,138.1,seven,500000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,291000,Diesel,Individual,Manual,Second Owner,2494,102,seven,750000
Toyota Qualis FS B3,Toyota,2002,290000,Diesel,Individual,Manual,First Owner,2446,75,one0,229999
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2009,285000,Diesel,Individual,Manual,Third Owner,2494,102,eight,530000
Mitsubishi Lancer 2.0 LXd,Mitsubishi,2000,280000,Diesel,Individual,Manual,Second Owner,1998,68,five,150000
Tata Indica V2 DLS TC,Tata,2004,271000,Diesel,Individual,Manual,First Owner,1405,62,five,50000
Tata Sumo Gold GX BSIII,Tata,2012,270000,Diesel,Individual,Manual,Third Owner,2956,68.4,seven,340000
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,2012,270000,CNG,Individual,Manual,First Owner,1196,61.7,five,220000
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2006,270000,Diesel,Individual,Manual,Third Owner,2494,102,eight,425000
Chevrolet Tavera Neo LT-L - 9 seats BSII,Chevrolet,2010,265000,Diesel,Individual,Manual,Fourth & Above Owner,2499,80,nine,285000
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,265000,Diesel,Individual,Manual,Second Owner,1199,75,five,300000
Tata Indigo LS,Tata,2012,265000,Diesel,Individual,Manual,Second Owner,1405,70,five,95000
Toyota Innova 2.5 G2,Toyota,2006,264000,Diesel,Individual,Manual,First Owner,2494,102,eight,430000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2007,260000,Diesel,Individual,Manual,Third Owner,2494,102,seven,600000
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2008,260000,Diesel,Individual,Manual,First Owner,2494,102,eight,700000
Mahindra Scorpio VLX 2WD AIRBAG BSIII,Mahindra,2011,260000,Diesel,Individual,Manual,Fourth & Above Owner,2179,120,eight,550000
Mahindra Xylo D2,Mahindra,2010,255000,Diesel,Individual,Manual,Second Owner,2489,95,eight,160000
Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,2006,250000,Diesel,Individual,Manual,First Owner,2494,102,seven,1050000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2010,250000,Diesel,Individual,Manual,Second Owner,2494,102,seven,750000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2012,250000,Diesel,Individual,Manual,First Owner,2494,100,seven,730000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2012,250000,Diesel,Individual,Manual,First Owner,2494,100,seven,730000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2012,250000,Diesel,Individual,Manual,First Owner,2494,100,seven,730000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,250000,Diesel,Individual,Manual,Second Owner,2494,102,seven,700000
Chevrolet Tavera B2 8 Seats BSIII,Chevrolet,2011,250000,Diesel,Individual,Manual,Second Owner,2499,80,seven,650000
Toyota Innova 2.5 VX 7 STR,Toyota,2011,250000,Diesel,Individual,Manual,Second Owner,2494,102,seven,550000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,250000,Diesel,Individual,Manual,Second Owner,2494,102,seven,550000
Toyota Innova 2.5 E 7 STR,Toyota,2009,250000,Diesel,Individual,Manual,First Owner,2494,102,seven,550000
Tata New Safari DICOR 2.2 EX 4x4 BS IV,Tata,2010,250000,Diesel,Individual,Manual,First Owner,2179,138,seven,295000
Toyota Etios GD,Toyota,2014,250000,Diesel,Individual,Manual,First Owner,1364,67.04,five,550000
Renault Duster 85PS Diesel RxL Optional,Renault,2013,250000,Diesel,Individual,Manual,First Owner,1461,83.8,five,475000
Tata Indica Vista TDI LS,Tata,2014,250000,Diesel,Individual,Manual,Second Owner,1405,70,five,110000
Skoda Octavia Ambiente 1.9 TDI MT,Skoda,2003,250000,Diesel,Individual,Manual,Second Owner,1896,66,five,100000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2008,250000,Diesel,Individual,Manual,Third Owner,2494,102,eight,425000
Tata Indigo LS,Tata,2004,248200,Diesel,Individual,Manual,Second Owner,1405,70,five,80000
Toyota Innova 2.5 E Diesel MS 8-seater,Toyota,2007,248119,Diesel,Individual,Manual,Fourth & Above Owner,2494,102,eight,409999
Hyundai Verna 1.4 CRDi,Hyundai,2015,248000,Diesel,Individual,Manual,First Owner,1396,88.7,five,525000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2012,246000,Diesel,Individual,Manual,Second Owner,2494,100,seven,700000
Toyota Innova 2.5 GX 7 STR,Toyota,2009,242000,Diesel,Individual,Manual,Fourth & Above Owner,2494,102,seven,650000
Toyota Fortuner 3.0 Diesel,Toyota,2010,240000,Diesel,Individual,Manual,First Owner,2982,171,seven,900000
Renault Lodgy Stepway 110PS RXZ 7S,Renault,2015,240000,Diesel,Individual,Manual,First Owner,1461,108.5,seven,550000
Maruti Swift Dzire ZDI,Maruti,2013,240000,Diesel,Individual,Manual,First Owner,1248,74,five,550000
Toyota Innova 2.5 G1 Diesel 8-seater,Toyota,2005,240000,Diesel,Individual,Manual,Third Owner,2494,102,eight,250000
Mahindra Bolero SLX 2WD BSIII,Mahindra,2011,239451,Diesel,Individual,Manual,Second Owner,2523,63,seven,380000
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,Tata,2012,231438,Diesel,Individual,Manual,Second Owner,1248,75,five,150000
Mahindra Xylo E8 ABS Airbag,Mahindra,2011,230000,Diesel,Individual,Manual,First Owner,2498,112,seven,600000
Chevrolet Tavera Neo 3 LS 9 Str BSIII,Chevrolet,2009,230000,Diesel,Individual,Manual,Second Owner,2499,72.4,nine,305000
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2014,230000,Diesel,Individual,Automatic,First Owner,1968,174.33,five,1200000
Ford Figo Diesel Celebration Edition,Ford,2013,230000,Diesel,Individual,Manual,First Owner,1399,68.1,five,229999
Tata Indigo CR4,Tata,2012,230000,Diesel,Individual,Manual,First Owner,1396,70,five,200000
Maruti Ertiga BSIV VXI,Maruti,2017,227000,Petrol,Individual,Manual,First Owner,1373,91.1,seven,700000
Tata Sumo MKII Turbo 2.0 LX,Tata,2010,225000,Diesel,Individual,Manual,Third Owner,1948,90,nine,150000
Tata Sumo MKII Turbo 2.0 LX,Tata,2010,225000,Diesel,Individual,Manual,Third Owner,1948,90,nine,150000
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2012,225000,Diesel,Individual,Manual,Second Owner,2494,100,eight,869999
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2011,222300,Diesel,Individual,Manual,First Owner,1199,73.9,five,220000
Hyundai Verna 1.6 SX,Hyundai,2011,221889,Diesel,Dealer,Manual,First Owner,1582,126.32,five,400000
Toyota Fortuner 3.0 Diesel,Toyota,2010,220000,Diesel,Individual,Manual,Second Owner,2982,171,seven,1050000
Chevrolet Tavera B3 LT L1 10 Seats BSIII,Chevrolet,2005,220000,Diesel,Individual,Manual,First Owner,2499,80,one0,160000
Maruti 800 EX,Maruti,2004,220000,Petrol,Individual,Manual,Second Owner,796,37,four,70000
Hyundai i20 1.2 Asta,Hyundai,2011,220000,Petrol,Individual,Manual,Fourth & Above Owner,1197,80,five,220000
Toyota Innova 2.5 G4 Diesel 8-seater,Toyota,2009,220000,Diesel,Individual,Manual,First Owner,2494,102,eight,600000
Mahindra Bolero SLX,Mahindra,2008,219000,Diesel,Individual,Manual,Second Owner,2523,63,seven,305000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2008,219000,Diesel,Individual,Manual,Second Owner,2494,102,eight,500000
Honda Civic 1.8 S AT,Honda,2007,218463,Petrol,Individual,Automatic,First Owner,1799,130,five,175000
Mahindra Verito 1.5 D2 BSIII,Mahindra,2011,218000,Diesel,Individual,Manual,First Owner,1461,64.1,five,180000
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,2014,217000,Diesel,Individual,Manual,Second Owner,2494,100.6,seven,869999
Toyota Innova 2.5 GX (Diesel) 8 Seater,Toyota,2013,217000,Diesel,Individual,Manual,Second Owner,2494,100.6,eight,1050000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2009,217000,Diesel,Individual,Manual,Fourth & Above Owner,2494,102,eight,525000
Toyota Innova 2.5 GX 8 STR,Toyota,2010,216000,Diesel,Individual,Manual,First Owner,2494,102,eight,550000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2013,215000,Diesel,Individual,Manual,First Owner,2494,100,seven,830000
Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,Mahindra,2012,215000,Diesel,Individual,Manual,First Owner,2179,120,seven,470000
Mahindra Verito 1.5 D2 BSIII,Mahindra,2011,215000,Diesel,Individual,Manual,First Owner,1461,64.1,five,210000
Hyundai Verna XXi ABS (Petrol),Hyundai,2009,214000,Petrol,Individual,Manual,Second Owner,1599,103.2,five,340000
Hyundai Verna CRDi SX,Hyundai,2009,214000,Diesel,Individual,Manual,Second Owner,1493,110,five,340000
Tata New Safari DICOR 2.2 EX 4x2,Tata,2009,212000,Diesel,Individual,Manual,Third Owner,2179,138.1,seven,229999
Nissan Sunny Diesel XV,Nissan,2013,212000,Diesel,Individual,Manual,First Owner,1461,84.8,five,375000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2012,210000,Diesel,Individual,Manual,First Owner,2494,100,seven,730000
Mahindra Quanto C8,Mahindra,2012,210000,Diesel,Individual,Manual,First Owner,1493,100,seven,300000
Chevrolet Tavera Neo 3 LT 9 Seats BSIV,Chevrolet,2010,210000,Diesel,Individual,Manual,Fourth & Above Owner,1994,105.3,nine,409999
Maruti Swift Dzire Ldi BSIV,Maruti,2012,210000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,370000
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2013,210000,Diesel,Individual,Manual,Third Owner,1396,88.76,five,360000
Maruti Swift VDI,Maruti,2011,210000,Diesel,Individual,Manual,First Owner,1248,74,five,280000
Renault KWID RXT,Renault,2015,210000,Petrol,Individual,Manual,Second Owner,799,53.3,five,210000
Maruti Swift VDI Deca,Maruti,2016,210000,Diesel,Individual,Manual,First Owner,1248,74,five,210000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2007,210000,Diesel,Individual,Manual,Second Owner,2494,102,eight,465000
Toyota Innova 2.5 G4 Diesel 8-seater,Toyota,2010,210000,Diesel,Individual,Manual,Second Owner,2494,102,eight,450000
Mahindra Bolero DI DX 7 Seater,Mahindra,2007,207890,Diesel,Individual,Manual,Second Owner,2523,63,seven,210000
Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2015,206000,Diesel,Dealer,Manual,First Owner,1498,98.59,five,550000
Maruti Alto LX,Maruti,2000,206000,Petrol,Individual,Manual,Fourth & Above Owner,796,46.3,five,108000
Tata Indigo CS LE (TDI) BS-III,Tata,2008,205000,Diesel,Individual,Manual,Second Owner,1396,69,five,99000
Skoda Yeti Ambition 4WD,Skoda,2011,202000,Diesel,Individual,Manual,First Owner,1968,138.08,five,600000
Tata Indica V2 2001-2011 DLS BSIII,Tata,2009,201850,Diesel,Individual,Manual,Second Owner,1396,52.8,five,88000
Ford Fiesta 1.4 ZXi TDCi Limited Edition,Ford,2006,201000,Diesel,Individual,Manual,First Owner,1399,68,five,55000
Hyundai i10 Magna 1.1L,Hyundai,2010,200400,Petrol,Individual,Manual,Second Owner,1086,68.05,five,187000
Ford Fiesta 1.4 Duratec ZXI,Ford,2008,200185,Petrol,Individual,Manual,First Owner,1388,68,five,136000
Mahindra Ssangyong Rexton RX7,Mahindra,2013,200000,Diesel,Individual,Automatic,First Owner,2696,184,seven,850000
Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,2011,200000,Diesel,Individual,Manual,Second Owner,2494,102,seven,735000
Maruti Ertiga VDI,Maruti,2012,200000,Diesel,Individual,Manual,Second Owner,1248,88.76,seven,560000
Toyota Innova 2.5 VX 7 STR,Toyota,2010,200000,Diesel,Individual,Manual,First Owner,2494,102,seven,515000
Mahindra XUV500 W8 4WD,Mahindra,2012,200000,Diesel,Individual,Manual,Fourth & Above Owner,2179,140,seven,500000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2010,200000,Diesel,Individual,Manual,Second Owner,2494,102,seven,425000
Toyota Innova 2.5 G4 Diesel 7-seater,Toyota,2009,200000,Diesel,Individual,Manual,Third Owner,2494,102,seven,395000
Mahindra Bolero 2011-2019 SLX,Mahindra,2012,200000,Diesel,Individual,Manual,First Owner,2523,62.1,seven,360000
Mahindra Bolero SLX 2WD BSIII,Mahindra,2011,200000,Diesel,Individual,Manual,Second Owner,2523,63,seven,350000
Mahindra Bolero SLX 4WD BSIII,Mahindra,2008,200000,Diesel,Individual,Manual,First Owner,2523,63,seven,250000
Mahindra Bolero 2011-2019 Plus AC,Mahindra,2014,200000,Diesel,Individual,Manual,First Owner,2523,62.1,nine,525000
Honda City i DTEC VX,Honda,2014,200000,Diesel,Individual,Manual,First Owner,1498,98.6,five,819999
Hyundai Verna 1.6 SX,Hyundai,2012,200000,Diesel,Individual,Manual,Second Owner,1582,126.32,five,450000
Toyota Etios Liva VXD,Toyota,2014,200000,Diesel,Individual,Manual,First Owner,1364,67.04,five,409999
Volkswagen Vento Diesel Highline,Volkswagen,2012,200000,Diesel,Individual,Manual,First Owner,1598,103.6,five,380000
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),Fiat,2011,200000,Diesel,Individual,Manual,First Owner,1248,91.7,five,280000
Skoda Octavia L and K 1.9 TDI (MT),Skoda,2007,200000,Diesel,Individual,Manual,Second Owner,1896,122.4,five,275000
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2012,200000,Diesel,Individual,Manual,First Owner,1199,73.9,five,240000
Maruti Swift Dzire 1.2 Vxi BSIV,Maruti,2010,200000,Petrol,Individual,Manual,First Owner,1197,85.8,five,210000
Hyundai Accent CRDi,Hyundai,2005,200000,Diesel,Individual,Manual,Second Owner,1493,82,five,200000
Tata Indica Vista Aqua TDI BSIII,Tata,2011,200000,Diesel,Individual,Manual,Second Owner,1405,71,five,200000
Maruti Zen Estilo VXI BSIV,Maruti,2010,200000,Petrol,Individual,Manual,First Owner,998,67.1,five,160000
Tata Indica Vista Aqua 1.4 TDI,Tata,2011,200000,Diesel,Individual,Manual,Second Owner,1405,71,five,140000
Honda CR-V 2.0L 2WD AT,Honda,2006,200000,Petrol,Individual,Automatic,Third Owner,1997,141.1,five,125000
Hyundai Accent DLS,Hyundai,2003,200000,Diesel,Individual,Manual,Second Owner,1493,82,five,108000
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2007,200000,Diesel,Individual,Manual,Third Owner,2494,102,eight,500000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2005,200000,Diesel,Individual,Manual,Second Owner,2494,102,eight,310000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2005,200000,Diesel,Individual,Manual,Second Owner,2494,102,eight,310000
Ashok Leyland Stile LE,Ashok,2013,200000,Diesel,Individual,Manual,Second Owner,1461,75,eight,300000
Mahindra Xylo D2,Mahindra,2011,200000,Diesel,Individual,Manual,Third Owner,2489,95,eight,200000
Mahindra Scorpio 2.6 CRDe,Mahindra,2005,200000,Diesel,Individual,Manual,Second Owner,2179,120,eight,151000
Mitsubishi Lancer 2.0 GLd,Mitsubishi,1999,198000,Diesel,Individual,Manual,Second Owner,1998,68,five,150000
Mitsubishi Lancer 2.0 GLd,Mitsubishi,1999,198000,Diesel,Individual,Manual,Second Owner,1998,68,five,150000
Maruti Wagon R LX,Maruti,2006,198000,Petrol,Individual,Manual,Second Owner,998,67.1,five,65000
Chevrolet Enjoy 1.3 TCDi LTZ 8,Chevrolet,2016,198000,Diesel,Individual,Manual,First Owner,1248,73.74,eight,500000
Toyota Innova 2.5 V Diesel 7-seater,Toyota,2011,197000,Diesel,Individual,Manual,First Owner,2494,102,seven,800000
Chevrolet Tavera Neo 3 10 Seats BSIII,Chevrolet,2015,197000,Diesel,Individual,Manual,First Owner,2499,72.4,one0,509999
Chevrolet Enjoy TCDi LT 7 Seater,Chevrolet,2014,195000,Diesel,Individual,Manual,First Owner,1248,73.8,seven,275000
Chevrolet Tavera B1-10 seats BSII,Chevrolet,2009,195000,Diesel,Individual,Manual,Second Owner,2499,80,one0,295000
Tata Manza Aqua Quadrajet BS IV,Tata,2012,195000,Diesel,Individual,Manual,Second Owner,1248,88.8,five,140000
Maruti Alto LXi BSIII,Maruti,2008,195000,Petrol,Individual,Manual,Second Owner,796,46.3,five,100000
Mahindra Scorpio EX,Mahindra,2013,195000,Diesel,Individual,Manual,First Owner,2523,75,eight,500000
Ford Figo Diesel Titanium,Ford,2012,194000,Diesel,Individual,Manual,First Owner,1399,68,five,260000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2008,193623,Diesel,Individual,Manual,Second Owner,2494,102,eight,330000
Maruti Swift Dzire ZDi,Maruti,2012,193000,Diesel,Individual,Manual,First Owner,1248,73.9,five,320000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2006,192000,Diesel,Individual,Manual,Fourth & Above Owner,2494,102,eight,450000
Hyundai Santro Xing GLS,Hyundai,2008,191000,Petrol,Individual,Manual,First Owner,1086,62.1,five,120000
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Toyota,2015,190000,Diesel,Individual,Manual,First Owner,2494,100.6,seven,1030000
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,190000,Diesel,Individual,Manual,Second Owner,2494,100.6,seven,950000
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,190000,Diesel,Individual,Manual,First Owner,1248,88.5,five,791000
Maruti Swift Dzire LDI,Maruti,2013,190000,Diesel,Individual,Manual,Second Owner,1248,74,five,430000
Maruti Swift Dzire VDi,Maruti,2010,190000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,350000
Hyundai Verna Transform CRDi VGT SX ABS,Hyundai,2010,190000,Diesel,Individual,Manual,Third Owner,1493,110,five,250000
Maruti Swift Vdi BSIII,Maruti,2010,190000,Diesel,Individual,Manual,Second Owner,1248,75,five,200000
Mahindra Logan Diesel 1.5 DLE,Mahindra,2011,190000,Diesel,Individual,Manual,Third Owner,1461,65,five,180000
Tata Indigo CS LS (TDI) BS III,Tata,2012,190000,Diesel,Individual,Manual,Second Owner,1396,69,five,168000
Tata Indica Vista Aqua 1.4 TDI,Tata,2009,190000,Diesel,Individual,Manual,First Owner,1405,71,five,100000
Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2013,190000,Diesel,Individual,Manual,First Owner,2494,100.6,eight,1000000
Tata Manza Club Class Quadrajet90 VX,Tata,2013,189000,Diesel,Individual,Manual,First Owner,1248,88.76,five,260000
Tata Manza Club Class Quadrajet90 VX,Tata,2013,189000,Diesel,Individual,Manual,First Owner,1248,88.76,five,260000
Mahindra XUV500 W10 2WD,Mahindra,2015,188000,Diesel,Individual,Manual,First Owner,2179,140,seven,950000
Tata Sumo EX TC,Tata,2005,188000,Diesel,Individual,Manual,First Owner,1948,90,seven,225000
Renault Duster 110PS Diesel RxZ,Renault,2014,188000,Diesel,Individual,Manual,Second Owner,1461,108.45,five,409999
Maruti Swift VDI,Maruti,2013,188000,Diesel,Individual,Manual,Second Owner,1248,74,five,400000
Maruti Swift Vdi BSIII,Maruti,2011,188000,Diesel,Individual,Manual,Second Owner,1248,75,five,305000
Maruti Swift Vdi BSIII,Maruti,2011,188000,Diesel,Individual,Manual,Second Owner,1248,75,five,305000
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2010,188000,Diesel,Individual,Manual,Second Owner,1248,88.8,five,200000
Maruti Wagon R LXI,Maruti,2005,188000,Petrol,Individual,Manual,Fourth & Above Owner,998,67.1,five,70000
Tata Sumo MKII CX BS IV,Tata,2012,188000,Diesel,Individual,Manual,Second Owner,2179,120,eight,250000
Ford Fiesta EXi 1.4 TDCi Ltd,Ford,2010,187000,Diesel,Dealer,Manual,Second Owner,1399,68,five,180000
Mahindra Renault Logan 1.5 DLE Diesel,Mahindra,2007,187000,Diesel,Individual,Manual,Second Owner,1461,65,five,180000
Maruti Gypsy King Soft Top,Maruti,1997,186388,Petrol,Individual,Manual,Second Owner,1298,80,eight,300000
Hyundai Creta 1.6 CRDi SX Option,Hyundai,2017,186000,Diesel,Individual,Manual,First Owner,1582,126.2,five,1110000
Tata Indigo CR4,Tata,2012,186000,Diesel,Individual,Manual,First Owner,1396,70,five,229999
Toyota Innova 2.5 E Diesel MS 7-seater,Toyota,2005,185000,Diesel,Individual,Manual,Second Owner,2494,100.6,seven,300000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,Chevrolet,2010,185000,Diesel,Individual,Manual,First Owner,2499,80,seven,270000
Mahindra Scorpio 2.6 Turbo 9 Str,Mahindra,2006,185000,Diesel,Individual,Manual,First Owner,2609,116.6,nine,250000
Toyota Corolla Altis Diesel D4DG,Toyota,2011,185000,Diesel,Individual,Manual,Second Owner,1364,87.2,five,365000
Maruti Swift Dzire LDI,Maruti,2013,185000,Diesel,Individual,Manual,First Owner,1248,74,five,350000
Fiat Linea Classic 1.3 Multijet,Fiat,2014,185000,Diesel,Individual,Manual,Third Owner,1248,75,five,280000
Hyundai Verna Transform SX VGT CRDi AT BS III,Hyundai,2010,185000,Diesel,Individual,Automatic,Fourth & Above Owner,1493,110,five,245000
Maruti Ritz LDi,Maruti,2011,185000,Diesel,Individual,Manual,Third Owner,1248,73.9,five,185000
Tata Indica Vista TDI LX,Tata,2012,185000,Diesel,Individual,Manual,Second Owner,1405,70,five,140000
Maruti Ertiga VDI,Maruti,2013,184000,Diesel,Individual,Manual,First Owner,1248,88.76,seven,600000
Mahindra Bolero 2011-2019 DI NON AC BS III White,Mahindra,2014,183000,Diesel,Individual,Manual,First Owner,2523,63,nine,370000
Hyundai Verna 1.4 CRDi,Hyundai,2012,182000,Diesel,Individual,Manual,Second Owner,1396,88.7,five,400000
Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,181491,Diesel,Dealer,Manual,First Owner,2477,175.56,seven,950000
Toyota Fortuner 3.0 Diesel,Toyota,2011,181000,Diesel,Individual,Manual,Second Owner,2982,171,seven,1150000
Mahindra Bolero 2011-2019 Plus AC,Mahindra,2012,180000,Diesel,Individual,Manual,Third Owner,2523,62.1,nine,550000
Maruti Swift VDI BSIV,Maruti,2015,180000,Diesel,Individual,Manual,First Owner,1248,74,five,545000
Maruti Swift Dzire LDI,Maruti,2013,180000,Diesel,Individual,Manual,Second Owner,1248,74,five,385000
Hyundai Sonata 2.0L CRDi MT,Hyundai,2009,180000,Diesel,Individual,Manual,First Owner,1991,142,five,330000
Maruti Swift Dzire VDi,Maruti,2010,180000,Diesel,Individual,Manual,First Owner,1248,73.9,five,315000
Mahindra Verito Vibe 1.5 dCi D4,Mahindra,2013,180000,Diesel,Individual,Manual,First Owner,1461,64.1,five,250000
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,Tata,2012,180000,Diesel,Individual,Manual,First Owner,1248,75,five,200000
Ford Fiesta Classic 1.4 SXI Duratorq,Ford,2008,180000,Diesel,Individual,Manual,Second Owner,1399,67,five,190000
Ford Figo Diesel ZXI,Ford,2011,180000,Diesel,Individual,Manual,Second Owner,1399,68,five,130000
Maruti Zen Estilo LXI BS IV,Maruti,2010,180000,Petrol,Individual,Manual,Second Owner,998,67.1,five,100000
Maruti Zen LXI,Maruti,2000,180000,Petrol,Individual,Manual,Fourth & Above Owner,993,60,five,50000
Tata New Safari DICOR 2.2 EX 4x2,Tata,2008,179150,Diesel,Individual,Manual,Second Owner,2179,138.1,seven,500000
Honda City 2017-2020 GXi,Honda,2006,178500,Petrol,Individual,Manual,Third Owner,1497,78,five,200000
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,Mahindra,2013,178000,Diesel,Individual,Manual,First Owner,2523,63,nine,325000
Tata Indica Vista Quadrajet VX,Tata,2012,178000,Diesel,Individual,Manual,Second Owner,1248,74,five,285000
Fiat Linea Emotion (Diesel),Fiat,2010,178000,Diesel,Individual,Manual,Second Owner,1248,91.7,five,190000
