battery_power,blue_tooth,clock_speed,dual_sim,Front_Camera_mx,four_g,int_memory,mobile_dep,mobile_wt,n_cores,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
1757,No,0.5,No,8,No,49,0.5,180,six,14,2056,7,5,4,No,No,No,meduim
1063,No,1.4,Yes,2,Yes,48,1,128,five,4,2910,15,13,9,Yes,Yes,Yes,high
1484,No,3,No,3,No,12,0.6,134,three,5,1457,14,4,20,Yes,Yes,No,meduim
799,Yes,2.3,No,1,Yes,63,0.8,144,eight,6,431,15,6,6,Yes,Yes,Yes,low
1156,Yes,1.2,Yes,0,Yes,50,0.8,159,two,0,470,7,0,15,Yes,Yes,No,low
1720,No,2,No,15,Yes,55,0.5,168,two,18,2148,14,2,5,Yes,Yes,Yes,high
702,No,2.6,Yes,2,Yes,9,0.7,141,three,3,2955,10,4,19,Yes,No,No,high
616,No,1.9,Yes,13,Yes,44,0.8,81,three,17,3366,18,8,13,Yes,Yes,No,very_high
1358,Yes,0.5,No,11,Yes,36,0.3,155,four,14,3068,9,4,4,Yes,Yes,No,very_high
1866,No,1.4,No,0,No,30,0.5,182,three,0,3834,16,11,8,No,No,No,very_high
1242,No,1.1,Yes,0,No,10,0.6,165,two,1,1050,11,1,4,Yes,No,Yes,low
1166,No,1.5,Yes,0,Yes,43,0.8,80,four,1,3993,7,1,7,Yes,Yes,No,very_high
1448,Yes,0.5,Yes,6,Yes,45,0.8,138,seven,11,3378,13,11,2,Yes,Yes,Yes,very_high
1407,Yes,2.4,No,1,Yes,22,0.7,104,four,4,2192,9,7,13,Yes,No,Yes,high
605,No,1,No,8,Yes,9,0.1,142,three,16,392,15,6,4,Yes,No,No,low
1038,No,1.2,No,3,No,43,0.7,141,one,5,3709,11,0,12,Yes,Yes,Yes,very_high
797,Yes,2.9,Yes,4,No,38,0.5,90,four,6,590,9,2,6,No,Yes,No,low
819,No,0.6,Yes,8,Yes,42,0.9,188,six,20,1814,5,4,13,Yes,No,Yes,meduim
1114,No,2.8,No,4,Yes,9,0.4,197,three,15,907,10,7,17,Yes,Yes,No,low
1234,Yes,1.6,Yes,1,No,33,0.6,172,one,3,1449,11,7,6,No,No,Yes,low
1199,Yes,2.5,Yes,15,Yes,16,0.2,116,four,20,3448,17,13,10,Yes,No,Yes,very_high
1103,No,1,Yes,6,No,29,0.7,111,six,8,1837,8,7,16,No,Yes,Yes,meduim
1589,Yes,0.6,Yes,0,Yes,58,0.9,85,seven,7,3464,19,10,6,Yes,Yes,Yes,very_high
999,No,2.9,Yes,11,Yes,64,0.2,199,four,19,2593,14,11,16,Yes,Yes,No,high
1510,Yes,0.9,Yes,2,No,45,0.9,180,five,3,3484,9,6,11,No,Yes,Yes,very_high
1008,No,0.8,No,11,No,61,1,114,three,15,2009,10,3,11,Yes,No,No,meduim
1127,Yes,2.9,Yes,5,Yes,57,0.8,163,one,13,2048,11,5,17,Yes,Yes,Yes,meduim
1412,Yes,2.4,No,5,No,25,0.8,96,eight,17,837,15,9,4,No,No,Yes,meduim
1496,Yes,2,Yes,4,No,42,0.5,182,five,5,854,16,0,7,No,Yes,Yes,low
1083,Yes,2.9,Yes,1,Yes,64,0.8,178,three,11,3210,13,3,4,Yes,No,No,very_high
668,No,0.5,Yes,0,No,3,0.1,155,five,13,2746,9,5,8,Yes,Yes,Yes,high
1309,No,1.1,Yes,0,No,33,0.5,100,four,14,2334,10,1,11,Yes,No,Yes,high
1724,No,2,Yes,2,Yes,57,0.5,177,three,5,2822,19,3,16,Yes,Yes,No,very_high
1977,Yes,2,Yes,7,Yes,54,1,171,seven,18,1971,18,7,14,Yes,Yes,No,high
885,No,2.3,Yes,0,Yes,15,0.4,103,seven,0,1410,16,10,5,Yes,Yes,Yes,low
879,Yes,2.5,No,11,Yes,14,0.7,83,six,15,349,16,10,2,Yes,No,Yes,low
1322,No,1.7,Yes,6,No,7,0.8,140,three,9,1418,19,17,12,No,Yes,No,meduim
1137,Yes,1,No,18,No,7,1,196,three,19,3616,13,5,12,Yes,Yes,Yes,very_high
1355,No,2.3,No,10,Yes,23,0.2,132,five,16,880,19,4,8,Yes,Yes,No,low
1665,Yes,0.5,No,3,Yes,60,0.2,194,six,18,1601,18,17,14,Yes,No,No,high
657,No,2.5,No,0,No,37,0.7,141,two,1,1412,14,3,18,No,Yes,No,low
593,No,0.5,No,6,No,31,0.4,156,seven,7,1692,6,2,7,Yes,No,No,meduim
1883,Yes,0.5,No,3,Yes,10,0.3,146,six,13,2600,16,8,20,Yes,No,No,very_high
1732,Yes,1.1,No,4,Yes,12,0.8,119,eight,9,1308,16,7,11,Yes,No,Yes,meduim
543,No,0.5,No,0,No,57,0.7,192,five,4,2413,17,14,15,Yes,No,No,meduim
1939,Yes,2.8,Yes,0,Yes,55,0.6,199,four,10,1047,14,10,18,Yes,Yes,No,low
553,No,2.4,Yes,1,Yes,8,0.5,121,seven,3,1204,11,4,8,Yes,Yes,Yes,low
832,No,0.7,Yes,2,Yes,39,0.7,103,four,3,1799,5,2,11,Yes,No,Yes,meduim
1661,No,1.9,Yes,5,No,23,1,172,five,10,2676,12,6,11,No,Yes,Yes,very_high
1657,Yes,2.4,No,3,No,42,0.1,198,five,16,2597,18,1,14,Yes,No,No,very_high
1135,Yes,2,Yes,0,No,46,0.3,83,one,4,3029,19,17,9,Yes,Yes,Yes,very_high
1775,Yes,1.5,No,3,No,41,0.1,163,one,7,2343,19,13,14,Yes,Yes,Yes,very_high
783,No,1.8,Yes,0,Yes,43,1,106,three,4,2016,16,4,18,Yes,Yes,No,meduim
617,Yes,2.3,No,0,No,32,0.5,199,seven,20,2213,18,13,7,No,No,No,meduim
867,No,1.4,Yes,0,Yes,4,0.7,135,six,1,790,13,6,3,Yes,Yes,No,low
1310,Yes,1.1,Yes,13,No,7,1,194,five,14,3182,8,4,5,Yes,Yes,No,high
1804,No,0.5,No,9,Yes,22,0.6,153,seven,19,3472,9,1,20,Yes,No,Yes,very_high
1900,Yes,2.3,No,1,Yes,18,0.2,89,seven,9,2871,12,1,13,Yes,Yes,Yes,very_high
909,Yes,1.4,No,0,No,53,0.3,82,eight,0,3187,12,9,4,Yes,No,No,high
1084,Yes,2.6,No,3,Yes,40,0.9,107,three,11,1945,15,4,10,Yes,Yes,No,meduim
1308,No,1.3,Yes,8,No,46,0.9,199,one,12,488,5,3,9,No,Yes,No,low
1778,No,0.5,No,0,No,15,0.5,102,three,0,1214,5,0,14,Yes,No,No,meduim
1701,Yes,1.6,Yes,3,No,10,0.3,194,eight,7,2598,12,9,6,No,Yes,No,high
772,Yes,2.4,Yes,1,Yes,10,0.5,80,four,2,3242,18,11,4,Yes,Yes,No,very_high
825,Yes,0.5,Yes,7,No,52,0.9,130,three,10,3534,10,4,6,No,Yes,No,very_high
1379,No,1.1,No,5,Yes,36,0.8,200,two,7,3426,5,4,17,Yes,Yes,Yes,very_high
1166,No,2,No,3,Yes,25,0.8,198,five,4,2488,13,5,15,Yes,No,No,high
1659,No,2.8,No,5,No,16,0.6,89,one,20,3255,19,14,9,No,No,Yes,very_high
826,Yes,2.4,Yes,0,Yes,58,0.3,88,four,1,2863,9,3,18,Yes,No,Yes,high
1564,No,2.3,No,4,Yes,25,0.5,189,six,17,1496,6,4,7,Yes,Yes,Yes,meduim
1957,No,0.9,Yes,11,No,31,0.6,181,three,16,3801,12,0,7,Yes,No,Yes,very_high
1571,No,1.4,No,0,Yes,19,0.1,100,six,1,666,12,10,13,Yes,Yes,No,low
1414,No,2,Yes,2,No,54,0.8,99,seven,3,3799,17,7,7,Yes,No,Yes,very_high
1790,No,2.5,Yes,9,No,2,0.1,184,one,14,1366,7,0,20,Yes,Yes,Yes,meduim
645,No,0.5,No,1,No,41,1,197,seven,10,2962,12,9,4,Yes,Yes,Yes,high
668,No,2.9,Yes,7,No,30,0.2,195,eight,12,2399,10,5,7,Yes,Yes,Yes,meduim
1652,Yes,1.1,Yes,1,No,36,0.7,89,four,5,2338,12,8,20,No,No,No,high
1213,Yes,0.5,No,0,No,16,0.5,108,five,0,2700,12,3,9,No,No,Yes,high
1272,Yes,2.5,Yes,0,No,22,0.9,133,six,8,2235,19,4,4,Yes,No,No,meduim
866,No,0.5,Yes,5,Yes,46,0.5,179,eight,7,3825,12,11,2,Yes,Yes,Yes,very_high
536,No,2.4,Yes,12,Yes,3,0.3,182,seven,14,284,12,9,4,Yes,Yes,No,low
523,No,2.6,Yes,1,No,14,0.1,155,eight,2,1427,9,1,9,No,Yes,No,low
1753,No,0.5,Yes,0,Yes,31,0.1,134,one,18,1324,17,0,17,Yes,No,Yes,high
1218,No,1.8,Yes,1,Yes,14,0.5,147,three,4,398,17,0,5,Yes,No,No,low
1537,Yes,2.5,No,4,Yes,43,0.3,137,one,5,3685,18,17,17,Yes,Yes,Yes,very_high
786,No,2.2,Yes,0,No,33,0.5,141,seven,6,2390,12,11,5,Yes,No,Yes,high
1678,No,2.1,No,3,Yes,64,0.9,134,three,11,278,19,0,10,Yes,Yes,No,low
1814,No,1.4,Yes,1,Yes,9,0.4,141,two,2,3556,18,12,16,Yes,No,No,very_high
1101,No,1.8,No,0,No,31,0.2,148,two,7,2196,12,6,19,No,Yes,Yes,meduim
1461,No,2.4,Yes,3,Yes,40,0.5,141,seven,4,3799,16,1,4,Yes,No,No,very_high
1216,No,3,No,4,No,47,0.4,199,three,7,2268,13,5,4,No,Yes,Yes,high
506,No,1.6,No,6,Yes,41,0.8,159,one,7,2965,13,10,15,Yes,No,No,high
843,Yes,0.5,No,1,Yes,56,0.1,147,five,17,2341,10,1,20,Yes,Yes,Yes,meduim
742,No,2.2,Yes,4,No,56,0.2,190,seven,14,3557,16,11,12,No,Yes,Yes,very_high
1692,Yes,2.1,No,3,Yes,61,0.9,176,six,12,1354,16,7,19,Yes,No,No,meduim
1485,No,1,No,2,Yes,32,0.7,84,two,9,2147,19,1,11,Yes,Yes,No,high
1547,No,2.9,Yes,6,No,45,0.7,166,two,8,505,12,2,3,No,Yes,Yes,low
1692,No,2.3,Yes,4,Yes,46,0.9,139,one,6,1394,16,10,6,Yes,Yes,No,meduim
637,No,2.3,No,3,Yes,60,0.8,97,four,4,374,18,4,8,Yes,No,Yes,low
1224,No,0.5,No,16,Yes,6,0.4,109,six,18,506,10,0,11,Yes,Yes,Yes,low
1356,No,2.8,No,0,No,29,0.5,198,six,0,3702,17,0,19,No,No,No,very_high
1840,No,0.5,Yes,12,No,34,0.7,142,one,16,1078,8,0,10,No,No,No,meduim
1481,Yes,0.7,Yes,4,Yes,37,0.6,96,five,13,2945,10,5,16,Yes,Yes,Yes,high
961,Yes,1.5,Yes,10,No,51,0.3,152,six,16,2981,15,6,7,Yes,Yes,Yes,high
1296,No,0.9,Yes,0,Yes,14,0.5,124,five,3,490,7,1,4,Yes,Yes,Yes,low
1193,No,0.9,No,11,No,26,0.5,166,one,20,536,17,14,4,Yes,No,Yes,low
1441,No,2.1,Yes,11,Yes,3,0.1,118,eight,17,2317,16,4,7,Yes,No,Yes,high
517,No,1.4,Yes,3,Yes,33,0.8,183,four,8,3704,17,16,11,Yes,No,Yes,very_high
748,Yes,1.7,No,0,Yes,27,0.9,150,eight,4,2126,18,9,7,Yes,No,No,meduim
1126,Yes,2.4,No,2,Yes,10,0.4,160,six,3,2050,7,6,12,Yes,Yes,Yes,high
1572,No,0.6,No,0,Yes,58,0.2,157,seven,8,2462,12,8,10,Yes,No,No,very_high
1569,No,2.8,Yes,17,No,44,0.3,110,four,20,1260,9,2,17,Yes,No,No,meduim
1270,Yes,0.6,Yes,2,Yes,32,0.5,101,seven,6,3770,5,3,13,Yes,Yes,No,very_high
1854,No,3,No,2,Yes,8,0.1,101,five,5,1886,17,4,20,Yes,Yes,No,meduim
625,Yes,1.2,Yes,5,Yes,10,0.2,183,four,8,3323,9,1,7,Yes,Yes,Yes,high
1577,No,0.5,Yes,0,Yes,42,0.3,197,five,4,2060,19,6,12,Yes,No,No,high
534,No,0.5,Yes,0,Yes,16,1,189,five,1,3926,16,12,20,Yes,No,No,very_high
946,No,1.7,Yes,8,Yes,25,0.8,143,six,15,2177,7,5,13,Yes,Yes,Yes,high
685,No,0.5,No,2,No,29,0.8,93,seven,10,728,14,8,4,No,No,Yes,low
1949,No,1.3,Yes,0,No,23,0.1,101,five,1,2478,14,8,20,Yes,No,No,very_high
947,No,0.8,Yes,0,Yes,22,0.1,197,two,13,2842,16,12,2,Yes,No,No,high
801,Yes,2.2,Yes,2,No,63,0.4,165,seven,4,1617,17,4,19,No,No,Yes,meduim
703,Yes,2.7,No,12,Yes,30,0.3,113,one,20,1472,14,7,7,Yes,No,No,low
1165,Yes,2.4,No,11,No,41,0.2,178,six,12,764,19,12,15,Yes,No,No,low
1082,No,0.8,No,0,No,38,0.1,198,eight,5,2337,6,1,17,No,Yes,Yes,high
959,Yes,2.6,Yes,15,No,20,1,84,four,19,3965,16,1,6,Yes,No,No,very_high
1502,Yes,1.2,No,0,No,54,0.2,138,five,12,3693,17,14,16,Yes,Yes,No,very_high
1380,Yes,2.1,Yes,1,Yes,4,0.8,92,three,13,797,13,2,15,Yes,Yes,No,low
1266,No,0.5,No,0,Yes,5,0.1,95,six,9,1687,11,0,18,Yes,No,No,high
1934,Yes,2.6,Yes,0,Yes,46,0.1,103,one,17,2940,13,9,2,Yes,Yes,Yes,very_high
1905,Yes,0.5,No,3,Yes,6,0.5,151,one,5,1545,9,5,10,Yes,Yes,No,meduim
1831,No,1.4,Yes,2,No,43,0.9,150,five,5,3834,17,7,13,Yes,Yes,Yes,very_high
596,No,1.4,No,8,No,46,0.6,165,one,18,2505,15,4,15,Yes,Yes,No,meduim
1562,Yes,1.3,Yes,1,Yes,7,0.2,190,five,15,2243,12,10,6,Yes,No,No,high
1490,Yes,0.5,Yes,4,Yes,64,0.3,150,eight,8,3600,17,9,7,Yes,Yes,Yes,very_high
1523,Yes,2.4,No,5,Yes,57,0.2,117,two,6,3971,18,12,10,Yes,Yes,Yes,very_high
640,No,0.6,No,0,No,20,0.1,163,four,15,2844,7,5,18,Yes,Yes,No,high
1526,No,2.1,No,1,Yes,23,0.2,117,seven,8,2227,18,10,3,Yes,Yes,No,high
1989,No,2.5,Yes,0,Yes,41,0.8,94,three,13,1665,17,9,12,Yes,Yes,Yes,high
1308,No,1.9,No,0,Yes,61,0.7,106,three,7,3355,15,2,4,Yes,No,Yes,very_high
609,No,0.5,No,3,No,26,0.3,93,four,4,1866,11,10,14,Yes,Yes,Yes,meduim
1905,No,0.6,Yes,9,Yes,36,0.4,119,three,20,1287,13,4,16,Yes,No,No,meduim
1703,Yes,0.5,No,0,Yes,22,0.6,192,one,0,1046,5,4,13,Yes,No,Yes,low
1445,Yes,2.4,Yes,7,Yes,20,0.4,173,seven,15,1441,7,4,13,Yes,Yes,Yes,meduim
1087,No,1.3,No,0,Yes,16,0.3,166,three,9,690,14,6,6,Yes,No,Yes,low
671,No,0.9,Yes,10,No,30,0.7,105,seven,17,2504,6,4,15,Yes,No,No,high
1472,Yes,2.3,No,6,No,61,0.1,168,six,19,2677,19,15,8,Yes,No,No,high
765,No,0.5,Yes,0,Yes,47,0.3,115,eight,1,2243,11,7,4,Yes,No,Yes,high
1642,No,0.5,Yes,16,Yes,8,0.3,171,six,17,2984,13,4,17,Yes,No,Yes,high
1265,No,1.5,No,7,No,49,0.7,182,five,16,1362,5,0,12,No,No,Yes,meduim
664,Yes,1.1,Yes,1,Yes,51,0.1,110,seven,4,3629,19,15,6,Yes,Yes,Yes,very_high
1277,Yes,0.5,Yes,0,Yes,35,0.4,142,six,6,3559,18,17,6,Yes,Yes,No,very_high
1395,No,1.8,Yes,0,No,23,0.1,111,three,1,2571,11,0,13,Yes,No,Yes,high
1539,Yes,2.6,No,0,No,41,0.1,159,eight,0,2107,15,9,10,Yes,No,Yes,high
1049,Yes,2.2,No,9,No,63,0.5,135,five,17,1022,11,3,13,No,No,No,low
1827,No,1.7,No,4,Yes,39,0.5,128,five,16,2844,14,9,10,Yes,Yes,No,high
903,No,1,Yes,0,Yes,50,0.4,91,one,0,711,9,5,10,Yes,Yes,No,low
1987,Yes,0.5,No,3,Yes,53,1,181,three,7,3117,18,5,8,Yes,Yes,Yes,very_high
1154,No,1.2,Yes,0,Yes,49,0.2,181,eight,2,978,5,3,7,Yes,No,Yes,low
1336,No,0.9,No,5,Yes,17,0.2,194,five,9,1869,13,1,16,Yes,Yes,Yes,meduim
1886,No,0.5,No,0,Yes,24,0.4,112,three,1,1179,16,7,20,Yes,No,Yes,meduim
1551,No,1.1,No,4,No,51,0.1,88,five,6,3844,11,8,4,No,Yes,No,very_high
850,Yes,1.6,Yes,6,Yes,29,0.5,133,five,19,593,19,17,10,Yes,No,Yes,low
660,No,0.5,No,5,Yes,40,0.5,111,two,10,588,6,5,18,Yes,Yes,Yes,low
1225,Yes,2.1,Yes,8,No,13,0.5,116,four,12,3836,12,11,11,No,No,No,very_high
1452,Yes,0.5,Yes,1,Yes,25,0.9,123,six,11,2669,12,10,13,Yes,No,No,high
1686,Yes,2.8,Yes,3,No,38,0.1,166,four,4,2958,14,11,2,No,No,No,very_high
1634,Yes,1.4,No,1,Yes,17,0.2,200,two,5,3031,11,6,6,Yes,Yes,Yes,very_high
1708,Yes,2.4,Yes,18,Yes,49,0.1,109,one,19,3388,6,4,16,Yes,Yes,Yes,very_high
1151,Yes,2.9,Yes,0,No,31,0.6,128,eight,1,2377,18,8,13,No,Yes,No,high
1578,No,1.9,Yes,2,Yes,37,0.1,138,four,19,2458,19,16,3,Yes,No,Yes,high
1689,No,1.8,No,17,No,24,0.3,127,three,18,2766,7,2,7,No,Yes,Yes,very_high
1488,No,0.5,No,1,No,39,0.8,112,five,6,3054,14,10,19,No,No,No,very_high
1313,Yes,1.8,Yes,4,No,9,0.4,105,one,6,3791,11,10,6,No,Yes,Yes,very_high
1715,No,1,Yes,4,Yes,31,0.5,83,eight,17,625,17,6,13,Yes,No,No,low
1442,No,1,Yes,0,No,27,0.1,192,three,19,2227,6,5,20,Yes,Yes,No,meduim
528,No,1.7,No,12,Yes,6,0.8,142,two,15,3256,9,8,6,Yes,Yes,No,high
1523,Yes,1.8,No,6,Yes,11,0.1,129,one,8,707,19,8,19,Yes,Yes,No,low
1133,No,1.4,No,3,No,42,0.1,199,five,12,1457,18,12,20,Yes,No,Yes,meduim
1718,Yes,2.5,Yes,14,Yes,6,0.1,183,five,16,3755,7,1,8,Yes,Yes,Yes,very_high
1330,No,0.5,No,0,No,38,1,183,seven,1,1733,9,0,11,Yes,No,Yes,meduim
1799,Yes,0.5,No,0,No,49,0.4,107,four,2,720,12,2,11,Yes,Yes,Yes,low
633,Yes,2.2,No,0,Yes,49,0.1,139,eight,1,3560,11,1,16,Yes,Yes,Yes,high
724,No,2.7,Yes,0,No,44,0.5,187,seven,0,2311,7,6,7,Yes,No,No,high
822,Yes,0.5,No,0,Yes,51,0.3,157,six,20,3846,10,1,3,Yes,No,No,very_high
1918,No,1.9,No,2,No,10,0.6,110,five,10,1717,7,1,16,Yes,Yes,Yes,high
1891,No,2.8,No,7,Yes,37,0.4,129,seven,14,3704,8,6,11,Yes,No,No,very_high
1373,Yes,1,Yes,2,No,50,0.2,127,seven,12,3800,8,3,14,Yes,No,No,very_high
862,Yes,0.8,Yes,3,No,23,0.4,165,two,15,278,16,3,11,No,No,Yes,low
1273,No,1,No,3,Yes,48,0.4,99,four,15,1767,18,15,11,Yes,Yes,No,meduim
957,Yes,2.5,No,4,No,7,0.8,107,five,10,1846,12,5,7,Yes,No,Yes,meduim
1617,Yes,1.3,Yes,3,Yes,30,0.7,105,two,4,829,9,0,10,Yes,No,No,low
893,No,2.5,Yes,0,No,55,0.6,183,two,1,2986,7,1,6,No,Yes,Yes,high
1210,No,0.5,No,0,No,63,0.1,93,five,0,2394,17,9,7,No,No,No,high
708,Yes,2.7,Yes,0,Yes,63,1,195,eight,7,2169,6,5,7,Yes,Yes,Yes,meduim
835,No,1.1,Yes,2,No,7,0.2,101,four,7,1181,13,5,15,Yes,Yes,Yes,low
1450,Yes,2.7,Yes,9,No,19,0.6,131,one,17,575,15,9,12,No,No,No,low
973,Yes,1.5,No,5,Yes,57,0.2,190,seven,16,2977,6,4,2,Yes,No,No,high
601,Yes,1.4,No,4,Yes,4,0.1,154,four,13,532,12,8,10,Yes,Yes,Yes,low
507,Yes,0.5,Yes,1,No,32,0.5,141,seven,11,1702,17,0,5,Yes,Yes,Yes,meduim
564,No,1.8,Yes,0,Yes,51,0.5,168,three,1,1074,14,8,15,Yes,Yes,No,low
1559,Yes,1.6,Yes,6,Yes,6,0.5,162,six,17,3352,9,1,3,Yes,Yes,Yes,very_high
754,No,0.5,Yes,7,Yes,59,0.7,178,seven,10,1027,6,3,5,Yes,No,No,meduim
728,No,2.7,Yes,0,No,25,0.2,88,four,1,2039,5,1,12,Yes,Yes,Yes,meduim
1431,Yes,0.5,No,0,Yes,56,0.6,191,one,1,461,7,3,8,Yes,No,No,low
767,No,1.5,No,4,No,28,0.7,175,four,10,527,10,0,15,No,Yes,No,low
1722,No,2.6,No,8,No,18,0.8,177,two,16,3271,14,0,15,Yes,No,Yes,very_high
1992,Yes,1.6,No,5,Yes,57,1,100,two,15,606,9,3,4,Yes,Yes,Yes,meduim
1876,No,0.5,No,10,Yes,40,0.3,86,six,14,2513,10,8,16,Yes,Yes,No,very_high
1054,No,1.1,Yes,10,Yes,38,0.4,136,six,12,1675,18,4,14,Yes,Yes,Yes,meduim
