Gender,Height(x),Weight(y),x_average,66.44,x-x_average,y-y_average,(x-x_average)*(y-y_average),covariance=,102.0086443,102.0086443
Female,65.08,143.19,,,-1.37,-18.24,24.93896581,,,
Female,66.36,156.77,,,-0.09,-4.65,0.402851081,,,
Female,64.64,141.08,,,-1.80,-20.34,36.63073831,,,
Female,61.35,136.30,,,-5.09,-25.12,127.8657821,,,
Female,62.39,125.64,,,-4.05,-35.79,145.0064815,,,
Female,65.68,157.46,,,-0.76,-3.96,3.027118951,,,
Female,62.00,143.22,,,-4.44,-18.21,80.90683041,,,
Female,61.80,137.39,,,-4.64,-24.04,111.5692468,,,
Female,63.03,127.64,,,-3.41,-33.79,115.1811504,,,
Female,67.13,146.58,,,0.69,-14.85,-10.22369985,,,
Female,59.79,128.25,,,-6.65,-33.17,220.6930742,,,
Female,65.04,138.46,,,-1.40,-22.96,32.26152623,,,
Female,61.84,116.40,,,-4.60,-45.02,207.2858723,,,
Female,62.97,124.77,,,-3.47,-36.65,127.3464606,,,
Female,62.28,130.40,,,-4.16,-31.03,129.0590818,,,
Female,63.80,144.96,,,-2.64,-16.46,43.48239486,,,
Female,62.87,138.44,,,-3.58,-22.99,82.19229667,,,
Female,65.96,153.44,,,-0.49,-7.99,3.879908189,,,
Female,68.29,149.85,,,1.84,-11.58,-21.35664891,,,
Female,66.69,151.81,,,0.25,-9.61,-2.395622197,,,
Female,61.11,118.78,,,-5.33,-42.65,227.4816244,,,
Female,66.28,140.86,,,-0.17,-20.57,3.403256043,,,
Female,63.72,144.99,,,-2.73,-16.43,44.79353603,,,
Female,59.44,103.68,,,-7.01,-57.75,404.5555422,,,
Female,66.15,146.29,,,-0.29,-15.14,4.408084761,,,
Female,58.69,101.86,,,-7.76,-59.57,462.1122142,,,
Female,66.58,155.89,,,0.14,-5.54,-0.773294786,,,
Female,66.63,142.87,,,0.19,-18.55,-3.482697393,,,
Female,63.18,131.80,,,-3.26,-29.63,96.6523075,,,
Female,65.87,126.09,,,-0.57,-35.34,20.0791397,,,
Female,62.38,115.56,,,-4.07,-45.87,186.4989951,,,
Female,67.43,168.92,,,0.99,7.49,7.407180291,,,
Female,62.79,120.01,,,-3.65,-41.41,151.325561,,,
