Company Name,Job Title,Salaries Reported,Location,,Salary/yr,,,,
Swiggy,Data Scientist,6,Frankfurt,,"2,805,476",219.5589913,,,
Subex,Data Scientist,6,Frankfurt,,"969,112",75.84354783,,,
iNeuron,Data Scientist,6,Frankfurt,,"450,979",35.2940087,,,
ZS Associates,Data Scientist,6,Frankfurt,,"1,338,795",104.7752609,,,
Robert Bosch India,Data Scientist,6,Frankfurt,,"1,040,493",81.42988696,,,
Scienaptic Systems,Data Scientist,6,Frankfurt,,"1,291,549",101.0777478,,,
FlyNava Technologies,Data Scientist,6,Frankfurt,,"49,928",3.907408696,,,
Nokia,Data Scientist,6,Frankfurt,,"1,663,189",130.1626174,,,
UnitedHealth Group,Data Scientist,6,Frankfurt,,"1,323,387",103.5694174,,,
Sigmoid Analytics,Data Scientist,6,Frankfurt,,"1,246,266",97.53386087,,,
Idexcel,Data Scientist,6,Frankfurt,,"494,147",38.67237391,,,
Citi,Data Scientist,5,Frankfurt,,"1,892,758",148.128887,,,
GE Healthcare,Data Scientist,5,Frankfurt,,"1,572,054",123.030313,,,
SigTuple,Data Scientist,5,Frankfurt,,"2,024,533",158.441713,,,
Dell Technologies,Data Scientist,5,Frankfurt,,"1,927,564",150.8528348,,,
iNeuron,Data Scientist,5,Frankfurt,,"800,000",62.60869565,,,
Ericsson IT Solutions & Services,Data Scientist,5,Frankfurt,,"2,009,790",157.287913,,,
Aptus Data Labs,Data Scientist,5,Frankfurt,,"831,462",65.07093913,,,
UniQreate,Data Scientist,5,Frankfurt,,"516,323",40.40788696,,,
LinkedIn,Data Scientist,5,Frankfurt,,"2,333,241",182.6014696,,,
Apexon,Data Scientist,5,Frankfurt,,"1,200,000",93.91304348,,,
Shadowfax Technologies,Data Scientist,5,Frankfurt,,"2,006,522",157.0321565,,,
Bharti Airtel,Data Scientist,5,Frankfurt,,"2,160,000",169.0434783,,,
Applied Materials,Data Scientist,5,Frankfurt,,"1,341,316",104.9725565,,,
FICO,Data Scientist,5,Frankfurt,,"1,634,105",127.8864783,,,
YouPlus,Data Scientist,5,Frankfurt,,"1,389,256",108.7243826,,,
Mphasis,Data Scientist,5,Frankfurt,,"1,000,000",78.26086957,,,
Target,Data Scientist,5,Frankfurt,,"1,231,116",96.3482087,,,
Gojek,Data Scientist,5,Frankfurt,,"2,352,941",184.1432087,,,
Blueocean Market Intelligence,Data Scientist,5,Frankfurt,,"744,551",58.2692087,,,
CRED,Data Scientist,5,Frankfurt,,"3,014,686",235.9319478,,,
Rolls-Royce,Data Scientist,5,Frankfurt,,"1,357,204",106.2159652,,,
Curl Analytics,Data Scientist,4,Frankfurt,,"1,053,196",82.42403478,,,
J.P. Morgan,Data Scientist,4,Frankfurt,,"1,337,606",104.6822087,,,
Knowledge Lens,Data Scientist,4,Frankfurt,,"48,825",3.821086957,,,
IBM,Data Scientist,4,Frankfurt,,"32,953",2.578930435,,,
ascena,Data Scientist,4,Frankfurt,,"1,649,930",129.1249565,,,
QuantZig,Data Scientist,4,Frankfurt,,"1,138,060",89.06556522,,,
Baker Hughes,Data Scientist,4,Frankfurt,,"1,612,744",126.2147478,,,
Everlytics,Data Scientist,4,Frankfurt,,"432,776",33.86942609,,,
Siemens,Data Scientist,4,Frankfurt,,"987,471",77.28033913,,,
ANZ Bank,Data Scientist,4,Frankfurt,,"1,512,297",118.3536783,,,
Lowe's Home Improvement,Data Scientist,4,Frankfurt,,"1,752,935",137.1862174,,,
Nones,Data Scientist,4,Frankfurt,,"1,197,944",93.75213913,,,
Bristlecone,Data Scientist,4,Frankfurt,,"76,962",6.023113043,,,
Altimetrik,Data Scientist,4,Frankfurt,,"587,146",45.95055652,,,
Head Digital Works,Data Scientist,4,Frankfurt,,"977,543",76.50336522,,,
Artivatic Data Labs,Data Scientist,4,Frankfurt,,"649,755",50.8503913,,,
HDFC Standard Life Insurance,Data Scientist,4,Frankfurt,,"1,177,531",92.1546,,,
AntWorks,Data Scientist,4,Frankfurt,,"1,194,925",93.51586957,,,
American Express,Data Scientist,4,Frankfurt,,"1,693,208",132.5119304,,,
ITC Infotech,Data Scientist,4,Frankfurt,,"414,817",32.46393913,,,
Aidetic,Data Scientist,4,Frankfurt,,"704,193",55.11075652,,,
NeenOpal,Data Scientist,4,Frankfurt,,"590,000",46.17391304,,,
Knowledge Foundry,Data Scientist,4,Frankfurt,,"1,119,069",87.57931304,,,
Mindtree,Data Scientist,4,Frankfurt,,"669,225",52.37413043,,,
Nones,Data Scientist,3,Frankfurt,,"1,013,978",79.3548,,,
TVS Motor Company,Data Scientist,3,Frankfurt,,"1,252,803",98.04545217,,,
XYZ,Data Scientist,3,Frankfurt,,"840,000",65.73913043,,,
ShieldSquare,Data Scientist,3,Frankfurt,,"761,610",59.60426087,,,
Tech Data,Data Scientist,3,Frankfurt,,"100,000",7.826086957,,,
Publicis Sapient,Data Scientist,3,Frankfurt,,"1,670,405",130.7273478,,,
Hinduja Global Solutions,Data Scientist,3,Frankfurt,,"1,284,643",100.5372783,,,
GE Digital,Data Scientist,3,Frankfurt,,"1,653,106",129.373513,,,
GlobusSoft,Data Scientist,3,Frankfurt,,"385,393",30.1611913,,,
MakeMyTrip,Data Scientist,3,Frankfurt,,"1,200,000",93.91304348,,,
Artificial Learning Systems,Data Scientist,3,Frankfurt,,"1,124,740",88.02313043,,,
Dailyhunt,Data Scientist,3,Frankfurt,,"2,600,000",203.4782609,,,
Draup,Data Scientist,3,Frankfurt,,"1,859,109",145.495487,,,
SwitchOn,Data Scientist,3,Frankfurt,,"669,785",52.41795652,,,
PwC,Data Scientist,3,Frankfurt,,"1,205,874",94.37274783,,,
Innodatatics,Data Scientist,3,Frankfurt,,"10,705",0.837782609,,,
Robert Bosch,Data Scientist,3,Frankfurt,,"1,180,355",92.3756087,,,
Two Roads Tech,Data Scientist,3,Frankfurt,,"3,812,913",298.401887,,,
ExxonMobil,Data Scientist,3,Frankfurt,,"2,873,437",224.8776783,,,
Bidgely,Data Scientist,3,Frankfurt,,"1,438,481",112.5767739,,,
IQVIA,Data Scientist,3,Frankfurt,,"899,123",70.36614783,,,
ShareChat,Data Scientist,3,Frankfurt,,"2,300,000",180,,,
Course5 Intelligence,Data Scientist,3,Frankfurt,,"825,077",64.57124348,,,
MAERSK,Data Scientist,3,Frankfurt,,"2,207,174",172.7353565,,,
Caterpillar,Data Scientist,3,Frankfurt,,"1,526,335",119.4523043,,,
Bepec Solutions,Data Scientist,3,Frankfurt,,"50,000",3.913043478,,,
NetApp,Data Scientist,3,Frankfurt,,"2,875,549",225.0429652,,,
Exposys Data Labs,Data Scientist,3,Frankfurt,,"36,120",2.826782609,,,
Spoonshot,Data Scientist,3,Frankfurt,,"1,615,535",126.4331739,,,
InMobi,Data Scientist,3,Frankfurt,,"1,700,000",133.0434783,,,
Swiss Re,Data Scientist,3,Frankfurt,,"1,352,802",105.8714609,,,
TheMathCompany,Data Scientist,3,Frankfurt,,"600,000",46.95652174,,,
Shell,Data Scientist,3,Frankfurt,,"2,148,775",168.165,,,
Flip Robo,Data Scientist,3,Frankfurt,,"25,581",2.001991304,,,
HCL,Data Scientist,3,Frankfurt,,"347,924",27.22883478,,,
upGrad,Data Scientist,3,Frankfurt,,"1,284,643",100.5372783,,,
Legato Health Technologies,Data Scientist,3,Frankfurt,,"1,200,000",93.91304348,,,
Terra Economics and Analytics Lab,Data Scientist,3,Frankfurt,,"720,000",56.34782609,,,
HDFC Bank,Data Scientist,3,Frankfurt,,"1,105,385",86.5083913,,,
Halodoc,Data Scientist,3,Frankfurt,,"1,879,205",147.0682174,,,
Analytical Wizards,Data Scientist,3,Frankfurt,,"600,000",46.95652174,,,
PayPal,Data Scientist,3,Frankfurt,,"273,000",21.36521739,,,
GE,Data Scientist,3,Frankfurt,,"1,007,628",78.85784348,,,
Manthan,Data Scientist,3,Frankfurt,,"1,254,416",98.17168696,,,
Visa Inc.,Data Scientist,3,Frankfurt,,"324,000",25.35652174,,,
Tech Mahindra,Data Scientist,3,Frankfurt,,"1,500,000",117.3913043,,,
Data Semantics,Data Scientist,3,Frankfurt,,"362,209",28.3467913,,,
GE Aviation,Data Scientist,3,Frankfurt,,"1,349,689",105.6278348,,,
Landmark Group,Data Scientist,3,Frankfurt,,"1,605,804",125.6716174,,,
Neustar,Data Scientist,3,Frankfurt,,"1,923,665",150.5476957,,,
Axis Bank,Data Scientist,3,Frankfurt,,"1,171,687",91.69724348,,,
Comviva,Data Scientist,3,Frankfurt,,"900,000",70.43478261,,,
iQuanti,Data Scientist,3,Frankfurt,,"2,046,452",160.157113,,,
Mercedes-Benz International,Data Scientist,2,Frankfurt,,"93,234",7.296573913,,,
Zoom Video Communications,Data Scientist,2,Frankfurt,,"2,839,076",222.1885565,,,
Money View,Data Scientist,2,Frankfurt,,"1,438,576",112.5842087,,,
nference,Data Scientist,2,Frankfurt,,"1,930,235",151.0618696,,,
KrazyBee,Data Scientist,2,Frankfurt,,"1,149,607",89.96924348,,,
Applied Materials,Data Scientist,2,Frankfurt,,"1,407,768",110.1731478,,,
Mavenir,Data Scientist,2,Frankfurt,,"961,306",75.23264348,,,
Molecular Connections,Data Scientist,2,Frankfurt,,"43,047",3.368895652,,,
Yodlee,Data Scientist,2,Frankfurt,,"2,315,641",181.2240783,,,
NovelSynth Soft Solutions,Data Scientist,2,Frankfurt,,"20,465",1.601608696,,,
Locus,Data Scientist,2,Frankfurt,,"2,472,920",193.5328696,,,
IVYTEL Technologies,Data Scientist,2,Frankfurt,,"496,798",38.87984348,,,
Sumyag,Data Scientist,2,Frankfurt,,"64,222",5.026069565,,,
Wabtec,Data Scientist,2,Frankfurt,,"2,420,967",189.4669826,,,
VMware,Data Scientist,2,Frankfurt,,"2,079,353",162.7319739,,,
Wipro Digital,Data Scientist,2,Frankfurt,,"1,207,396",94.49186087,,,
Zycus,Data Scientist,2,Frankfurt,,"75,372",5.898678261,,,
Tyson Foods,Data Scientist,2,Frankfurt,,"1,825,549",142.8690522,,,
OceanFrogs,Data Scientist,2,Frankfurt,,"37,004",2.895965217,,,
Lenovo,Data Scientist,2,Frankfurt,,"1,917,242",150.0450261,,,
Tata,Data Scientist,2,Frankfurt,,"1,612,292",126.1793739,,,
Simplilearn Solutions,Data Scientist,2,Frankfurt,,"1,587",0.1242,,,
Dun & Bradstreet,Data Scientist,2,Frankfurt,,"15,169",1.18713913,,,
AlmaBetter,Data Scientist,2,Frankfurt,,"729,193",57.06727826,,,
CreditNirvana,Data Scientist,2,Frankfurt,,"1,245,989",97.51218261,,,
DONE by NONE,Data Scientist,2,Frankfurt,,"750,734",58.75309565,,,
Accentue,Data Scientist,2,Frankfurt,,"1,319,401",103.2574696,,,
SymphonyAI,Data Scientist,2,Frankfurt,,964,0.075443478,,,
First Student,Data Scientist,2,Frankfurt,,"41,750",3.267391304,,,
Datamatics Global Services,Data Scientist,2,Frankfurt,,"1,223,165",95.72595652,,,
Razorpay,Data Scientist,2,Frankfurt,,"1,423,985",111.4423043,,,
NTT Ltd.,Data Scientist,2,Frankfurt,,"134,323",10.51223478,,,
mfine,Data Scientist,2,Frankfurt,,"2,050,962",160.5100696,,,
Marlabs,Data Scientist,2,Frankfurt,,"1,304,028",102.0543652,,,
Optum Global Solutions,Data Scientist,2,Frankfurt,,"1,213,107",94.9388087,,,
Reckonsys,Data Scientist,2,Frankfurt,,"111,147",8.69846087,,,
Apisero,Data Scientist,2,Frankfurt,,"950,000",74.34782609,,,
Aruba Networks,Data Scientist,2,Frankfurt,,"1,518,492",118.8385043,,,
Intellicar,Data Scientist,2,Frankfurt,,"1,327,250",103.8717391,,,
ORMAE,Data Scientist,2,Frankfurt,,"16,862",1.319634783,,,
CROPIN TECHNOLOGY SOLUTIONS,Data Scientist,2,Frankfurt,,"18,830",1.473652174,,,
Belong,Data Scientist,2,Frankfurt,,"1,433,532",112.1894609,,,
Mobile Premier League,Data Scientist,2,Frankfurt,,"2,404,581",188.1846,,,
Smiths Detection,Data Scientist,2,Frankfurt,,"1,560,483",122.1247565,,,
Shubh Loans,Data Scientist,2,Frankfurt,,"996,878",78.01653913,,,
TCS,Data Scientist,2,Frankfurt,,"294,363",23.03710435,,,
Fresher,Data Scientist,2,Frankfurt,,"703,427",55.0508087,,,
Aditya Birla Group,Data Scientist,2,Frankfurt,,"1,635,202",127.9723304,,,
Morgan Stanley,Data Scientist,2,Frankfurt,,"1,299,238",101.6794957,,,
Publicis Sapient,Data Scientist,2,Frankfurt,,"33,050",2.586521739,,,
DataVal Analytics,Data Scientist,2,Frankfurt,,"57,921",4.532947826,,,
Thomson Reuters,Data Scientist,2,Frankfurt,,"1,532,945",119.9696087,,,
Numerify,Data Scientist,2,Frankfurt,,"2,530,666",198.0521217,,,
Kabbage,Data Scientist,2,Frankfurt,,"2,065,471",161.6455565,,,
Loyalytics Consulting,Data Scientist,2,Frankfurt,,"712,128",55.73175652,,,
Monsanto Company,Data Scientist,2,Frankfurt,,"1,975,970",154.6411304,,,
FOKAL,Data Scientist,2,Frankfurt,,"1,085,362",84.94137391,,,
Sutherland,Data Scientist,2,Frankfurt,,"1,064,862",83.33702609,,,
Hypersonix (CA),Data Scientist,2,Frankfurt,,"3,146,934",246.2817913,,,
Boeing,Data Scientist,2,Frankfurt,,"2,266,312",177.3635478,,,
Utopus Insights,Data Scientist,2,Frankfurt,,"1,163,045",91.02091304,,,
Apple,Data Scientist,2,Frankfurt,,"857,370",67.09852174,,,
GetupForChange Services,Data Scientist,2,Frankfurt,,"56,808",4.445843478,,,
MIQ Logistics,Data Scientist,2,Frankfurt,,"601,398",47.06593043,,,
Zendrive,Data Scientist,2,Frankfurt,,"1,574,844",123.2486609,,,
Honeywell,Data Scientist,2,Frankfurt,,"70,114",5.487182609,,,
Paytm,Data Scientist,2,Frankfurt,,"549,688",43.01906087,,,
Unilever,Data Scientist,2,Frankfurt,,"1,705,561",133.478687,,,
Conduent,Data Scientist,2,Frankfurt,,"846,242",66.22763478,,,
3K Technologies,Data Scientist,2,Frankfurt,,"798,116",62.46125217,,,
DONE by NONE,Data Scientist,2,Frankfurt,,"15,033",1.176495652,,,
Netenrich Inc.,Data Scientist,2,Frankfurt,,"1,164,765",91.15552174,,,
Majorel,Data Scientist,2,Frankfurt,,"112,271",8.786426087,,,
Polynomial.Ai,Data Scientist,2,Frankfurt,,"500,036",39.13325217,,,
HARMAN,Data Scientist,2,Frankfurt,,"638,755",49.98952174,,,
Mbb Labs,Data Scientist,2,Frankfurt,,"100,392",7.856765217,,,
Analytics Vidhya,Data Scientist,2,Frankfurt,,"12,721",0.995556522,,,
KPMG,Data Scientist,2,Frankfurt,,"874,565",68.44421739,,,
Inference Labs,Data Scientist,2,Frankfurt,,"53,107",4.1562,,,
Cartesian Consulting,Data Scientist,2,Frankfurt,,"954,426",74.6942087,,,
ZedEye Labs,Data Scientist,2,Frankfurt,,"77,818",6.090104348,,,
McAfee,Data Scientist,2,Frankfurt,,"1,181,838",92.49166957,,,
Zinnov Management Consulting,Data Scientist,2,Frankfurt,,"1,068,503",83.62197391,,,
Microsoft,Data Scientist,2,Frankfurt,,"83,857",6.562721739,,,
Simpl,Data Scientist,2,Frankfurt,,"1,962,841",153.6136435,,,
Unisys,Data Scientist,2,Frankfurt,,"1,104,704",86.45509565,,,
Shaw Academy,Data Scientist,2,Frankfurt,,"1,433,708",112.2032348,,,
Rakuten,Data Scientist,2,Frankfurt,,"1,929,554",151.0085739,,,
Blue Yonder,Data Scientist,2,Frankfurt,,"2,184,214",170.938487,,,
SalesKen,Data Scientist,2,Frankfurt,,"1,039,792",81.37502609,,,
Danske IT and Support Services,Data Scientist,2,Frankfurt,,"831,774",65.09535652,,,
Samsung Electronics,Data Scientist,2,Frankfurt,,"2,197,572",171.9838957,,,
Sonata Software,Data Scientist,2,Frankfurt,,"627,332",49.09554783,,,
Merck KGaA,Data Scientist,2,Frankfurt,,"827,767",64.78176522,,,
GE,Data Scientist,2,Frankfurt,,835,0.065347826,,,
InViz AI Solutions,Data Scientist,2,Frankfurt,,"776,836",60.79586087,,,
Sumyag,Data Scientist,2,Frankfurt,,"29,520",2.31026087,,,
Samsung R&D Institute India - Bangalore,Data Scientist,2,Frankfurt,,"1,975,545",154.6078696,,,
Quess,Data Scientist,2,Frankfurt,,"781,491",61.16016522,,,
QuEST Global,Data Scientist,2,Frankfurt,,"1,408,375",110.2206522,,,
Ong & Shan,Data Scientist,2,Frankfurt,,183,0.014321739,,,
PayU,Data Scientist,2,Frankfurt,,"2,018,938",158.0038435,,,
Encora,Data Scientist,2,Frankfurt,,"1,256,429",98.32922609,,,
Tata Consultancy Services,Data Scientist,2,Frankfurt,,"118,986",9.311947826,,,
Accenture,Data Scientist,2,Frankfurt,,"59,606",4.664817391,,,
Walmart eCommerce,Data Scientist,2,Frankfurt,,"243,613",19.06536522,,,
Nivetti Systems,Data Scientist,2,Frankfurt,,"747,000",58.46086957,,,
Prescience,Data Scientist,2,Frankfurt,,"1,437,318",112.4857565,,,
Thoughtworks,Data Scientist,2,Frankfurt,,"865,467",67.7322,,,
Prognos Health,Data Scientist,2,Frankfurt,,"132,347",10.3575913,,,
TECH I.S,Data Scientist,2,Frankfurt,,"66,161",5.177817391,,,
Virtusa,Data Scientist,2,Frankfurt,,"481,741",37.70146957,,,
Zeta Suite,Data Scientist,2,Frankfurt,,"1,277,486",99.97716522,,,
Halliburton,Data Scientist,2,Frankfurt,,"820,544",64.21648696,,,
Apar Technologies,Data Scientist,2,Frankfurt,,"1,624,875",127.1641304,,,
DataMites,Data Scientist,2,Frankfurt,,"529,123",41.40962609,,,
Cerner,Data Scientist,2,Frankfurt,,"1,392,815",109.002913,,,
Juniper Networks,Data Scientist,2,Frankfurt,,"2,561,949",200.5003565,,,
Idexcel,Data Scientist,2,Frankfurt,,"709,784",55.54831304,,,
L&T Technology Services,Data Scientist,2,Frankfurt,,"555,530",43.47626087,,,
Tiger Analytics,Data Scientist,2,Frankfurt,,"631,299",49.4060087,,,
Capital One,Data Scientist,2,Frankfurt,,"1,588,612",124.3261565,,,
Zeotap,Data Scientist,2,Frankfurt,,"75,190",5.884434783,,,
Bright Money,Data Scientist,2,Frankfurt,,"2,739,727",214.4134174,,,
Hakkasan Group,Data Scientist,1,Frankfurt,,"589,007",46.0962,,,
Thoucentric,Data Scientist,1,Frankfurt,,"40,000",3.130434783,,,
SelfEmployed.com,Data Scientist,1,Frankfurt,,"50,163",3.9258,,,
The Smart Cube,Data Scientist,1,Frankfurt,,"1,003,261",78.51607826,,,
Standard Chartered Global Business Services,Data Scientist,1,Frankfurt,,"2,682,633",209.9451913,,,
Ambee (India),Data Scientist,1,Frankfurt,,"920,903",72.07066957,,,
Intuit,Data Scientist,1,Frankfurt,,"3,095,345",242.2443913,,,
Diageo,Data Scientist,1,Frankfurt,,"1,659,175",129.8484783,,,
Robosoft Technologies,Data Scientist,1,Frankfurt,,"10,705",0.837782609,,,
Perpule,Data Scientist,1,Frankfurt,,"1,292,428",101.1465391,,,
WyzMindz,Data Scientist,1,Frankfurt,,"421,444",32.98257391,,,
Tavant,Data Scientist,1,Frankfurt,,"561,186",43.91890435,,,
Nabler Web Solutions,Data Scientist,1,Frankfurt,,"811,182",63.4838087,,,
Mahindra,Data Scientist,1,Frankfurt,,"1,079,751",84.50225217,,,
noon,Data Scientist,1,Frankfurt,,"608,387",47.61289565,,,
Biocon,Data Scientist,1,Frankfurt,,"507,740",39.73617391,,,
Snipe Tech Pvt Ltd.,Data Scientist,1,Frankfurt,,"33,320",2.607652174,,,
dAlchemy,Data Scientist,1,Frankfurt,,"600,000",46.95652174,,,
Hewlett-Packard,Data Scientist,1,Frankfurt,,"2,204,142",172.4980696,,,
WayCool Foods & Products,Data Scientist,1,Frankfurt,,"830,984",65.03353043,,,
Ithink Technologies,Data Scientist,1,Frankfurt,,"313,195",24.51091304,,,
The Goddard School,Data Scientist,1,Frankfurt,,"25,000",1.956521739,,,
Volvo Group,Data Scientist,1,Frankfurt,,"1,200,000",93.91304348,,,
Freshers.com,Data Scientist,1,Frankfurt,,"46,237",3.618547826,,,
Exalca Technologies,Data Scientist,1,Frankfurt,,"353,277",27.64776522,,,
Shenzyn,Data Scientist,1,Frankfurt,,"588,795",46.0796087,,,
Happay,Data Scientist,1,Frankfurt,,"458,420",35.87634783,,,
Panasonic,Data Scientist,1,Frankfurt,,"1,924,646",150.6244696,,,
Spottabl,Data Scientist,1,Frankfurt,,"321,161",25.13433913,,,
NightLight Pediatric Urgent Care,Data Scientist,1,Frankfurt,,"55,000",4.304347826,,,
Ankit R Jain & Associates,Data Scientist,1,Frankfurt,,"600,000",46.95652174,,,
subodh singh,Data Scientist,1,Frankfurt,,"1,203,913",94.21927826,,,
Trinity Mobility,Data Scientist,1,Frankfurt,,"636,742",49.83198261,,,
CronLabs Solutions,Data Scientist,1,Frankfurt,,"370,227",28.97428696,,,
SOTI,Data Scientist,1,Frankfurt,,"703,427",55.0508087,,,
CoRover,Data Scientist,1,Frankfurt,,"1,999,227",156.4612435,,,
iOPEX Technologies,Data Scientist,1,Frankfurt,,"750,000",58.69565217,,,
Alfonso & Associates Consulting,Data Scientist,1,Frankfurt,,"3,530,641",276.3110348,,,
iQuanti,Data Scientist,1,Frankfurt,,"30,147",2.359330435,,,
EdgeVerve Systems,Data Scientist,1,Frankfurt,,"1,148,909",89.91461739,,,
Cimpress,Data Scientist,1,Frankfurt,,"502,448",39.32201739,,,
Affle,Data Scientist,1,Frankfurt,,"933,286",73.03977391,,,
Qualcomm,Data Scientist,1,Frankfurt,,"128,464",10.05370435,,,
Monty Telecom Development,Data Scientist,1,Frankfurt,,"683,496",53.4909913,,,
Philips Lighting,Data Scientist,1,Frankfurt,,"1,023,226",80.07855652,,,
ABC,Data Scientist,1,Frankfurt,,"2,000,000",156.5217391,,,
Vervenest,Data Scientist,1,Frankfurt,,"341,109",26.69548696,,,
Avail Finance,Data Scientist,1,Frankfurt,,"20,880",1.634086957,,,
YDI Solutions,Data Scientist,1,Frankfurt,,"366,410",28.67556522,,,
AIEnterprise,Data Scientist,1,Frankfurt,,"712,525",55.76282609,,,
GE Power,Data Scientist,1,Frankfurt,,"1,269,350",99.34043478,,,
GLOBALFOUNDRIES,Data Scientist,1,Frankfurt,,"75,245",5.88873913,,,
Applied Data Finance,Data Scientist,1,Frankfurt,,"41,305",3.232565217,,,
Ramus Musik,Data Scientist,1,Frankfurt,,"800,000",62.60869565,,,
Trendwise Analytics,Data Scientist,1,Frankfurt,,"481,017",37.6448087,,,
Anonymous,Data Scientist,1,Frankfurt,,"1,070,536",83.78107826,,,
DocOn Technologies,Data Scientist,1,Frankfurt,,"2,141,072",167.5621565,,,
HackerEarth,Data Scientist,1,Frankfurt,,"140,685",11.01013043,,,
Quadrant 4 Systems,Data Scientist,1,Frankfurt,,"1,026,478",80.33306087,,,
MARS WEB Solution,Data Scientist,1,Frankfurt,,"1,031,782",80.74815652,,,
Verizon,Data Scientist,1,Frankfurt,,"1,004,895",78.64395652,,,
